		aest01_1	aest06_1	aest07_1	aest10_1	aest15_1	aest18_1	aest24_1	aest25_1	aest26_1	aest28_1	aest29_1	aest31_1	aest35_1	aest36_1
ALD1	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD10	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD11	ALD	242	236	261	295	312	140	298	128	145	356	211	308	148	326
ALD12	ALD	242	234	261	295	312	140	0	128	145	356	211	308	148	326
ALD13	ALD	242	234	261	295	312	140	298	128	142	356	211	308	148	326
ALD14	ALD	242	218	261	290	312	164	298	128	142	353	211	308	148	326
ALD15	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD16	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD17	ALD	236	224	256	280	312	164	298	128	142	392	216	308	148	326
ALD18	ALD	242	234	261	295	312	140	298	128	142	356	211	308	148	326
ALD19	ALD	242	218	261	290	312	164	298	128	142	353	211	308	148	326
ALD2	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD20	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD21	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD22	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD23	ALD	248	236	256	280	312	164	298	128	142	353	211	318	148	322
ALD24	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD25	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD26	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD27	ALD	242	218	261	290	312	164	298	128	142	353	211	308	140	326
ALD28	ALD	242	218	261	290	312	164	298	128	142	353	211	308	148	326
ALD29	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD3	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD30	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD31	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD32	ALD	0	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD33	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD34	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD35	ALD	242	234	261	295	312	140	298	128	145	356	211	308	144	326
ALD36	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD37	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD38	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD39	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD4	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD40	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD41	ALD	242	234	261	295	312	140	298	128	145	356	211	308	144	326
ALD42	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD43	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD44	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD45	ALD	242	234	261	295	312	140	298	128	142	356	211	308	148	326
ALD46	ALD	0	234	261	295	312	140	298	128	142	356	211	308	148	326
ALD47	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD48	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD49	ALD	242	234	261	295	312	140	298	128	145	356	211	308	144	326
ALD5	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD50	ALD	242	234	261	295	312	140	298	128	145	356	211	308	144	326
ALD51	ALD	242	234	261	295	312	140	298	128	145	356	211	308	144	326
ALD52	ALD	242	234	261	295	312	164	298	128	142	356	216	318	144	326
ALD53	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD54	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
