,FRE,ALD,RIE,TRO,SCG,BOH,BOB,FRB,UEB,SCL,SCD,WSL,BUR,SCS,NEU,UST,KON,FRI,BAR,BRU,LIM,HAN,GEN
FRE,0.000,0.311,0.257,0.314,0.275,0.279,0.259,0.143,0.319,0.290,0.274,0.344,0.268,0.336,0.316,0.278,0.279,0.277,0.286,0.225,0.263,0.297,0.333
ALD,0.311,0.000,0.081,0.180,0.175,0.130,0.092,0.181,0.129,0.193,0.136,0.152,0.276,0.181,0.151,0.085,0.145,0.119,0.174,0.203,0.103,0.137,0.125
RIE,0.257,0.081,0.000,0.105,0.107,0.075,0.057,0.117,0.122,0.115,0.081,0.140,0.227,0.144,0.081,0.058,0.090,0.086,0.064,0.155,0.059,0.079,0.101
TRO,0.314,0.180,0.105,0.000,0.145,0.121,0.110,0.179,0.158,0.173,0.156,0.204,0.243,0.181,0.082,0.104,0.132,0.149,0.205,0.198,0.097,0.150,0.183
SCG,0.275,0.175,0.107,0.145,0.000,0.129,0.111,0.112,0.150,0.046,0.071,0.193,0.208,0.124,0.157,0.098,0.138,0.127,0.079,0.171,0.088,0.144,0.111
BOH,0.279,0.130,0.075,0.121,0.129,0.000,0.044,0.134,0.128,0.147,0.095,0.167,0.232,0.130,0.086,0.053,0.079,0.064,0.106,0.173,0.031,0.071,0.142
BOB,0.259,0.092,0.057,0.110,0.111,0.044,0.000,0.125,0.116,0.157,0.102,0.171,0.225,0.114,0.099,0.055,0.100,0.076,0.109,0.166,0.055,0.099,0.127
FRB,0.143,0.181,0.117,0.179,0.112,0.134,0.125,0.000,0.196,0.160,0.137,0.216,0.188,0.196,0.193,0.126,0.159,0.131,0.073,0.105,0.119,0.161,0.195
UEB,0.319,0.129,0.122,0.158,0.150,0.128,0.116,0.196,0.000,0.162,0.126,0.137,0.266,0.171,0.152,0.082,0.163,0.111,0.134,0.190,0.116,0.115,0.096
SCL,0.290,0.193,0.115,0.173,0.046,0.147,0.157,0.160,0.162,0.000,0.071,0.174,0.241,0.178,0.121,0.125,0.155,0.165,0.106,0.194,0.102,0.123,0.128
SCD,0.274,0.136,0.081,0.156,0.071,0.095,0.102,0.137,0.126,0.071,0.000,0.135,0.222,0.154,0.127,0.083,0.136,0.091,0.070,0.179,0.078,0.083,0.115
WSL,0.344,0.152,0.140,0.204,0.193,0.167,0.171,0.216,0.137,0.174,0.135,0.000,0.261,0.191,0.160,0.160,0.174,0.097,0.217,0.229,0.117,0.112,0.170
BUR,0.268,0.276,0.227,0.243,0.208,0.232,0.225,0.188,0.266,0.241,0.222,0.261,0.000,0.261,0.257,0.230,0.230,0.217,0.234,0.189,0.201,0.248,0.264
SCS,0.336,0.181,0.144,0.181,0.124,0.130,0.114,0.196,0.171,0.178,0.154,0.191,0.261,0.000,0.209,0.120,0.116,0.107,0.242,0.204,0.081,0.149,0.147
NEU,0.316,0.151,0.081,0.082,0.157,0.086,0.099,0.193,0.152,0.121,0.127,0.160,0.257,0.209,0.000,0.102,0.114,0.144,0.189,0.202,0.077,0.101,0.174
UST,0.278,0.085,0.058,0.104,0.098,0.053,0.055,0.126,0.082,0.125,0.083,0.160,0.230,0.120,0.102,0.000,0.084,0.078,0.075,0.152,0.044,0.077,0.086
KON,0.279,0.145,0.090,0.132,0.138,0.079,0.100,0.159,0.163,0.155,0.136,0.174,0.230,0.116,0.114,0.084,0.000,0.118,0.175,0.193,0.063,0.110,0.127
FRI,0.277,0.119,0.086,0.149,0.127,0.064,0.076,0.131,0.111,0.165,0.091,0.097,0.217,0.107,0.144,0.078,0.118,0.000,0.119,0.162,0.055,0.096,0.122
BAR,0.286,0.174,0.064,0.205,0.079,0.106,0.109,0.073,0.134,0.106,0.070,0.217,0.234,0.242,0.189,0.075,0.175,0.119,0.000,0.156,0.066,0.124,0.168
BRU,0.225,0.203,0.155,0.198,0.171,0.173,0.166,0.105,0.190,0.194,0.179,0.229,0.189,0.204,0.202,0.152,0.193,0.162,0.156,0.000,0.155,0.178,0.185
LIM,0.263,0.103,0.059,0.097,0.088,0.031,0.055,0.119,0.116,0.102,0.078,0.117,0.201,0.081,0.077,0.044,0.063,0.055,0.066,0.155,0.000,0.059,0.090
HAN,0.297,0.137,0.079,0.150,0.144,0.071,0.099,0.161,0.115,0.123,0.083,0.112,0.248,0.149,0.101,0.077,0.110,0.096,0.124,0.178,0.059,0.000,0.123
GEN,0.333,0.125,0.101,0.183,0.111,0.142,0.127,0.195,0.096,0.128,0.115,0.170,0.264,0.147,0.174,0.086,0.127,0.122,0.168,0.185,0.090,0.123,0.000
