,FRE,ALD,RIE,TRO,SCG,BOH,BOB,FRB,UEB,SCL,SCD,WSL,BUR,SCS,NEU,UST,KON,FRI,BAR,BRU,LIM,HAN,GEN
FRE,0.000,0.066,0.055,0.077,0.061,0.050,0.049,0.019,0.077,0.062,0.052,0.066,0.071,0.073,0.075,0.055,0.066,0.034,0.079,0.037,0.037,0.065,0.081
ALD,0.066,0.000,0.030,0.059,0.075,0.045,0.030,0.087,0.049,0.072,0.053,0.041,0.099,0.058,0.048,0.031,0.045,0.042,0.099,0.042,0.043,0.058,0.064
RIE,0.055,0.030,0.000,0.058,0.061,0.039,0.020,0.071,0.054,0.049,0.032,0.043,0.084,0.062,0.034,0.034,0.042,0.036,0.081,0.033,0.034,0.036,0.055
TRO,0.077,0.059,0.058,0.000,0.074,0.060,0.054,0.097,0.064,0.075,0.068,0.065,0.091,0.072,0.046,0.054,0.074,0.059,0.116,0.058,0.047,0.074,0.078
SCG,0.061,0.075,0.061,0.074,0.000,0.067,0.054,0.073,0.077,0.018,0.027,0.065,0.077,0.048,0.072,0.056,0.065,0.058,0.076,0.041,0.034,0.065,0.043
BOH,0.050,0.045,0.039,0.060,0.067,0.000,0.022,0.076,0.048,0.063,0.046,0.057,0.081,0.044,0.037,0.027,0.038,0.026,0.084,0.024,0.021,0.038,0.062
BOB,0.049,0.030,0.020,0.054,0.054,0.022,0.000,0.067,0.042,0.059,0.031,0.050,0.075,0.050,0.039,0.024,0.046,0.026,0.081,0.024,0.024,0.040,0.054
FRB,0.019,0.087,0.071,0.097,0.073,0.076,0.067,0.000,0.103,0.084,0.071,0.084,0.070,0.087,0.094,0.076,0.089,0.047,0.101,0.054,0.052,0.089,0.107
UEB,0.077,0.049,0.054,0.064,0.077,0.048,0.042,0.103,0.000,0.065,0.057,0.052,0.104,0.068,0.063,0.039,0.065,0.050,0.081,0.048,0.048,0.055,0.051
SCL,0.062,0.072,0.049,0.075,0.018,0.063,0.059,0.084,0.065,0.000,0.023,0.053,0.089,0.063,0.051,0.057,0.059,0.063,0.065,0.040,0.037,0.043,0.047
SCD,0.052,0.053,0.032,0.068,0.027,0.046,0.031,0.071,0.057,0.023,0.000,0.043,0.074,0.055,0.054,0.040,0.054,0.039,0.070,0.026,0.029,0.031,0.044
WSL,0.066,0.041,0.043,0.065,0.065,0.057,0.050,0.084,0.052,0.053,0.043,0.000,0.084,0.061,0.058,0.057,0.050,0.038,0.090,0.034,0.035,0.059,0.072
BUR,0.071,0.099,0.084,0.091,0.077,0.081,0.075,0.070,0.104,0.089,0.074,0.084,0.000,0.085,0.094,0.085,0.095,0.062,0.114,0.046,0.051,0.096,0.101
SCS,0.073,0.058,0.062,0.072,0.048,0.044,0.050,0.087,0.068,0.063,0.055,0.061,0.085,0.000,0.075,0.044,0.047,0.036,0.109,0.033,0.026,0.060,0.039
NEU,0.075,0.048,0.034,0.046,0.072,0.037,0.039,0.094,0.063,0.051,0.054,0.058,0.094,0.075,0.000,0.048,0.044,0.058,0.109,0.047,0.044,0.052,0.077
UST,0.055,0.031,0.034,0.054,0.056,0.027,0.024,0.076,0.039,0.057,0.040,0.057,0.085,0.044,0.048,0.000,0.040,0.033,0.082,0.029,0.025,0.037,0.038
KON,0.066,0.045,0.042,0.074,0.065,0.038,0.046,0.089,0.065,0.059,0.054,0.050,0.095,0.047,0.044,0.040,0.000,0.050,0.107,0.044,0.042,0.051,0.051
FRI,0.034,0.042,0.036,0.059,0.058,0.026,0.026,0.047,0.050,0.063,0.039,0.038,0.062,0.036,0.058,0.033,0.050,0.000,0.090,0.015,0.014,0.047,0.058
BAR,0.079,0.099,0.081,0.116,0.076,0.084,0.081,0.101,0.081,0.065,0.070,0.090,0.114,0.109,0.109,0.082,0.107,0.090,0.000,0.068,0.074,0.082,0.090
BRU,0.037,0.042,0.033,0.058,0.041,0.024,0.024,0.054,0.048,0.040,0.026,0.034,0.046,0.033,0.047,0.029,0.044,0.015,0.068,0.000,0.006,0.037,0.043
LIM,0.037,0.043,0.034,0.047,0.034,0.021,0.024,0.052,0.048,0.037,0.029,0.035,0.051,0.026,0.044,0.025,0.042,0.014,0.074,0.006,0.000,0.037,0.044
HAN,0.065,0.058,0.036,0.074,0.065,0.038,0.040,0.089,0.055,0.043,0.031,0.059,0.096,0.060,0.052,0.037,0.051,0.047,0.082,0.037,0.037,0.000,0.051
GEN,0.081,0.064,0.055,0.078,0.043,0.062,0.054,0.107,0.051,0.047,0.044,0.072,0.101,0.039,0.077,0.038,0.051,0.058,0.090,0.043,0.044,0.051,0.000
