"","Code","MLG","Site_1_abrev","truffle_year","Sampling_year","Sampling_date","clusterssign(q>0.5)"
"1","TROSS3","MLG13","TRO",2010,2011,2011-03-27,"4"
"2","TROSS4","MLG13","TRO",2010,2011,2011-03-27,"4"
"3","BUR315","MLG7","BUR",2022,2022,2022-08-13,"3"
"4","FREI1","MLG354","FRE",2010,2011,2011-01-11,"3"
"5","ALD1","MLG363","ALD",2010,2011,2011-03-05,"2"
"6","ALD2","MLG363","ALD",2010,2011,2011-03-05,"2"
"7","FREI2","MLG354","FRE",2010,2011,2011-03-05,"3"
"8","FREI3","MLG354","FRE",2010,2011,2011-03-05,"3"
"9","RIETH1","MLG285","RIE",2010,2011,2011-03-05,"mixed"
"10","RIETH2","MLG185","RIE",2010,2011,2011-03-05,"2"
"11","TROSS1","MLG10","TRO",2010,2011,2011-03-05,"4"
"12","TROSS2","MLG365","TRO",2010,2011,2011-03-05,"4"
"13","SCHLI1","MLG25","SCG",2010,2011,2011-03-06,"1"
"14","SCHLI2","MLG25","SCG",2010,2011,2011-03-06,"1"
"15","SCHLI3","MLG127","SCG",2010,2011,2011-03-26,"1"
"16","ALD3","MLG363","ALD",2010,2011,2011-03-27,"2"
"17","ALD4","MLG363","ALD",2010,2011,2011-03-27,"2"
"18","RIETH3","MLG412","RIE",2010,2011,2011-03-27,"2"
"19","RIETH4","MLG286","RIE",2010,2011,2011-03-27,"2"
"20","ALD5","MLG363","ALD",2010,2011,2011-04-16,"2"
"21","RIETH5","MLG287","RIE",2010,2011,2011-04-16,"2"
"22","RIETH6","MLG183","RIE",2010,2011,2011-04-16,"2"
"23","TROSS6","MLG366","TRO",2010,2011,2011-04-16,"2"
"24","FREI6","MLG354","FRE",2010,2011,2011-04-17,"3"
"25","ALD6","MLG363","ALD",2011,2011,2011-05-07,"2"
"26","ALD7","MLG363","ALD",2011,2011,2011-05-07,"2"
"27","ALD8","MLG363","ALD",2011,2011,2011-05-27,"2"
"28","BOHHAS1","MLG81","BOH",2011,2011,2011-05-29,"2"
"29","FREI7","MLG354","FRE",2011,2011,2011-05-29,"3"
"30","FREI8","MLG354","FRE",2011,2011,2011-05-29,"3"
"31","ALD10","MLG363","ALD",2011,2011,2011-06-18,"2"
"32","ALD9","MLG363","ALD",2011,2011,2011-06-18,"2"
"33","RIETH7","MLG414","RIE",2011,2011,2011-06-18,"2"
"34","RIETH8","MLG168","RIE",2011,2011,2011-06-18,"2"
"35","BOHHAS2","MLG303","BOH",2011,2011,2011-06-19,"2"
"36","FREI10","MLG432","FRE",2011,2011,2011-06-19,"4"
"37","SCHLI4","MLG52","SCG",2011,2011,2011-07-03,"1"
"38","SCHLI5","MLG52","SCG",2011,2011,2011-07-03,"1"
"39","SCHLI6","MLG52","SCG",2011,2011,2011-07-03,"1"
"40","ALD11","MLG414","ALD",2011,2011,2011-07-08,"2"
"41","FREI11","MLG354","FRE",2011,2011,2011-07-08,"3"
"42","FREI12","MLG354","FRE",2011,2011,2011-07-08,"3"
"43","SCHLI7","MLG99","SCG",2011,2011,2011-07-09,"1"
"44","FREI13","MLG354","FRE",2011,2011,2011-07-25,"3"
"45","FREI14","MLG354","FRE",2011,2011,2011-07-25,"3"
"46","FREI15","MLG354","FRE",2011,2011,2011-07-29,"3"
"47","FREI16","MLG432","FRE",2011,2011,2011-07-29,"4"
"48","BOHBU1","MLG81","BOB",2011,2011,2011-08-01,"2"
"49","BOHHAS3","MLG257","BOH",2011,2011,2011-08-01,"4"
"50","ALD13","MLG359","ALD",2011,2011,2011-08-19,"2"
"51","ALD14","MLG152","ALD",2011,2011,2011-08-19,"3"
"52","FREI17","MLG354","FRE",2011,2011,2011-08-19,"3"
"53","FREI18","MLG432","FRE",2011,2011,2011-08-19,"4"
"54","RIETH10","MLG287","RIE",2011,2011,2011-08-19,"2"
"55","ALD15","MLG363","ALD",2011,2011,2011-08-20,"2"
"56","RIETH11","MLG349","RIE",2011,2011,2011-08-20,"2"
"57","RIETH12","MLG220","RIE",2011,2011,2011-08-20,"2"
"58","TROSS7","MLG13","TRO",2011,2011,2011-08-20,"4"
"59","BOHBU2","MLG81","BOB",2011,2011,2011-09-10,"2"
"60","BOHHAS5","MLG256","BOH",2011,2011,2011-09-11,"4"
"61","BOHHAS6","MLG344","BOH",2011,2011,2011-09-11,"4"
