,FRE,ALD,RIE,TRO,SCG,BOH,BOB,FRB,UEB,SCL,SCD,WSL,BUR,SCS,NEU,UST,KON,FRI,BAR,BRU,LIM,HAN,GEN
FRE,0.000,0.090,0.077,0.100,0.072,0.074,0.068,-0.009,0.124,0.099,0.078,0.067,0.098,0.089,0.096,0.074,0.099,0.025,-0.017,0.031,0.034,0.080,0.056
ALD,0.090,0.000,0.041,0.087,0.113,0.069,0.043,0.124,0.081,0.118,0.083,0.048,0.166,0.086,0.068,0.042,0.075,0.055,0.102,0.053,0.056,0.085,0.071
RIE,0.077,0.041,0.000,0.083,0.086,0.061,0.031,0.102,0.088,0.081,0.051,0.049,0.144,0.090,0.042,0.050,0.070,0.050,0.055,0.044,0.047,0.047,0.049
TRO,0.100,0.087,0.083,0.000,0.110,0.091,0.075,0.134,0.105,0.122,0.105,0.089,0.148,0.107,0.065,0.077,0.121,0.076,0.145,0.070,0.053,0.110,0.099
SCG,0.072,0.113,0.086,0.110,0.000,0.102,0.075,0.093,0.126,0.021,0.033,0.086,0.126,0.062,0.106,0.079,0.106,0.072,0.059,0.041,0.031,0.092,0.029
BOH,0.074,0.069,0.061,0.091,0.102,0.000,0.033,0.114,0.081,0.107,0.075,0.080,0.144,0.065,0.051,0.040,0.065,0.035,0.083,0.030,0.027,0.054,0.073
BOB,0.068,0.043,0.031,0.075,0.075,0.033,0.000,0.097,0.068,0.097,0.050,0.062,0.129,0.071,0.050,0.035,0.075,0.036,0.055,0.032,0.032,0.054,0.049
FRB,-0.009,0.124,0.102,0.134,0.093,0.114,0.097,0.000,0.164,0.133,0.107,0.100,0.105,0.113,0.129,0.107,0.139,0.048,0.042,0.058,0.059,0.120,0.106
UEB,0.124,0.081,0.088,0.105,0.126,0.081,0.068,0.164,0.000,0.112,0.096,0.080,0.185,0.113,0.104,0.064,0.115,0.080,0.100,0.075,0.075,0.089,0.066
SCL,0.099,0.118,0.081,0.122,0.021,0.107,0.097,0.133,0.112,0.000,0.038,0.078,0.161,0.102,0.080,0.094,0.104,0.101,0.059,0.062,0.057,0.067,0.053
SCD,0.078,0.083,0.051,0.105,0.033,0.075,0.050,0.107,0.096,0.038,0.000,0.055,0.134,0.084,0.081,0.062,0.094,0.058,0.052,0.036,0.041,0.041,0.040
WSL,0.067,0.048,0.049,0.089,0.086,0.080,0.062,0.100,0.080,0.078,0.055,0.000,0.130,0.078,0.079,0.075,0.075,0.029,0.074,0.019,0.023,0.074,0.071
BUR,0.098,0.166,0.144,0.148,0.126,0.144,0.129,0.105,0.185,0.161,0.134,0.130,0.000,0.139,0.154,0.142,0.156,0.099,0.120,0.074,0.084,0.156,0.136
SCS,0.089,0.086,0.090,0.107,0.062,0.065,0.071,0.113,0.113,0.102,0.084,0.078,0.139,0.000,0.113,0.061,0.076,0.035,0.117,0.029,0.020,0.084,0.020
NEU,0.096,0.068,0.042,0.065,0.106,0.051,0.050,0.129,0.104,0.080,0.081,0.079,0.154,0.113,0.000,0.066,0.070,0.074,0.135,0.052,0.049,0.072,0.099
UST,0.074,0.042,0.050,0.077,0.079,0.040,0.035,0.107,0.064,0.094,0.062,0.075,0.142,0.061,0.066,0.000,0.066,0.042,0.062,0.036,0.030,0.048,0.022
KON,0.099,0.075,0.070,0.121,0.106,0.065,0.075,0.139,0.115,0.104,0.094,0.075,0.156,0.076,0.070,0.066,0.000,0.078,0.134,0.067,0.065,0.083,0.062
FRI,0.025,0.055,0.050,0.076,0.072,0.035,0.036,0.048,0.080,0.101,0.058,0.029,0.099,0.035,0.074,0.042,0.078,0.000,0.036,0.005,0.005,0.056,0.034
BAR,-0.017,0.102,0.055,0.145,0.059,0.083,0.055,0.042,0.100,0.059,0.052,0.074,0.120,0.117,0.135,0.062,0.134,0.036,0.000,-0.020,0.001,0.064,0.042
BRU,0.031,0.053,0.044,0.070,0.041,0.030,0.032,0.058,0.075,0.062,0.036,0.019,0.074,0.029,0.052,0.036,0.067,0.005,-0.020,0.000,-0.009,0.037,0.000
LIM,0.034,0.056,0.047,0.053,0.031,0.027,0.032,0.059,0.075,0.057,0.041,0.023,0.084,0.020,0.049,0.030,0.065,0.005,0.001,-0.009,0.000,0.038,0.007
HAN,0.080,0.085,0.047,0.110,0.092,0.054,0.054,0.120,0.089,0.067,0.041,0.074,0.156,0.084,0.072,0.048,0.083,0.056,0.064,0.037,0.038,0.000,0.042
GEN,0.056,0.071,0.049,0.099,0.029,0.073,0.049,0.106,0.066,0.053,0.040,0.071,0.136,0.020,0.099,0.022,0.062,0.034,0.042,0.000,0.007,0.042,0.000
