Sample,MLG,PSex,aest06_1,aest07_1,aest15_1,aest26_1,aest28_1,aest35_1,aest36_1,aest01_1,aest10_1,aest18_1,aest24_1,aest25_1,aest29_1,aest31_1
BUR80,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR102,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR119,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR125,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR148,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR151,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR152,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR153,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR154,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR157,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR160,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR164,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR167,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR168,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR169,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR175,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR176,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR178,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR180,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR181,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR182,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR183,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR184,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR186,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR232,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR237,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR240,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR247,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR248,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR249,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR254,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR260,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR266,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR269,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR273,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR276,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR281,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR282,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR283,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR284,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR285,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR286,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR287,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR289,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
