aest06_1.230,aest06_1.234,aest06_1.218,aest06_1.236,aest06_1.224,RowNames
1,0,0,0,0,FREI1
0,0,0,1,0,FREI10
0,0,0,1,0,FREI28
0,0,1,0,0,FREI54
1,0,0,0,0,FREI59
0,0,1,0,0,FREI240
0,1,0,0,0,ALD1
0,0,0,1,0,ALD11
0,1,0,0,0,ALD13
0,0,1,0,0,ALD14
0,0,0,0,1,ALD17
0,0,0,1,0,ALD23
0,0,1,0,0,ALD27
0,1,0,0,0,ALD35
0,1,0,0,0,ALD52
0,1,0,0,0,ALD59
0,1,0,0,0,ALD60
1,0,0,0,0,ALD64
0,0,1,0,0,RIETH1
0,0,1,0,0,RIETH2
0,0,0,1,0,RIETH3
0,0,1,0,0,RIETH4
0,0,1,0,0,RIETH5
0,0,1,0,0,RIETH6
0,0,0,1,0,RIETH7
0,0,1,0,0,RIETH8
0,0,0,0,1,RIETH11
0,0,1,0,0,RIETH12
0,0,0,0,1,RIETH13
0,0,1,0,0,RIETH14
0,0,0,0,1,RIETH16
0,0,1,0,0,RIETH17
0,0,0,0,1,RIETH18
0,0,0,1,0,RIETH19
0,0,1,0,0,RIETH24
0,0,1,0,0,RIETH25
0,0,1,0,0,RIETH26
0,0,1,0,0,RIETH27
0,0,1,0,0,RIETH28
0,0,1,0,0,RIETH29
0,0,1,0,0,RIETH30
0,0,1,0,0,RIETH36
0,0,0,0,1,RIETH38
0,0,0,1,0,RIETH39
0,0,0,0,1,RIETH40
0,0,1,0,0,RIETH41
0,0,1,0,0,RIETH44
0,0,1,0,0,RIETH45
0,0,1,0,0,RIETH48
0,0,1,0,0,RIETH51
0,0,1,0,0,RIETH53
0,0,0,0,1,RIETH54
0,0,1,0,0,RIETH59
0,0,0,0,1,RIETH62
0,0,1,0,0,RIETH64
0,0,1,0,0,RIETH65
0,0,1,0,0,RIETH67
0,0,1,0,0,TROSS1
0,0,0,1,0,TROSS2
0,0,1,0,0,TROSS3
0,0,0,1,0,TROSS6
0,0,1,0,0,TROSS12
0,0,0,1,0,TROSS28
0,0,1,0,0,SCHLI1
0,0,1,0,0,SCHLI3
0,0,1,0,0,SCHLI4
0,0,1,0,0,SCHLI7
0,0,1,0,0,SCHLI9
0,0,1,0,0,SCHLI96
0,0,1,0,0,BOHHAS1
0,0,1,0,0,BOHHAS2
0,0,1,0,0,BOHHAS3
0,0,1,0,0,BOHHAS5
0,0,0,0,1,BOHHAS6
0,0,1,0,0,BOHHAS7
0,0,1,0,0,BOHHAS11
0,0,1,0,0,BOHHAS8
0,0,1,0,0,BOHHAS12
0,0,1,0,0,BOHHAS14
0,0,1,0,0,BOHHAS15
0,0,0,1,0,BOHHAS16
0,0,1,0,0,BOHHAS18
0,0,1,0,0,BOHHAS19
0,0,1,0,0,BOHHAS24
0,0,1,0,0,BOHHAS25
0,0,1,0,0,BOHHAS26
0,0,0,1,0,BOHHAS30
0,0,0,1,0,BOHHAS31
0,0,1,0,0,BOHHAS36
0,0,1,0,0,BOHHAS37
0,0,1,0,0,BOHHAS39
0,0,1,0,0,BOHHAS41
0,0,1,0,0,BOHHAS43
0,0,1,0,0,BOHHAS45
0,0,1,0,0,BOHHAS46
0,0,1,0,0,BOHHAS53
