"","Pop","SamplingYear","aest06_1","aest07_1","aest15_1","aest26_1","aest28_1","aest35_1","aest36_1","aest01_1","aest10_1","aest18_1","aest24_1","aest25_1","aest29_1","aest31_1","mean"
"1","FRE","2011",1,1,1,0,1,0,1,0,1,1,1,1,1,1,0.785714285714286
"2","FRE","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","FRE","2013",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.857142857142857
"4","FRE","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ALD","2011",0.866666666666667,0.533333333333333,0,0.533333333333333,0.733333333333333,0,0.333333333333333,0.6,0.733333333333333,0.6,0,0,0.333333333333333,0.333333333333333,0.4
"6","ALD","2012",1,0,0,1,1,1,0,0,1,1,0,0,0,0,0.428571428571429
"7","ALD","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ALD","2014",0.666666666666667,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.0952380952380952
"9","RIE","2011",0.625,0.125,0,0.691666666666667,0.725,0,0,0.541666666666667,0.708333333333333,0.741666666666667,0.608333333333333,0.525,0.325,0.508333333333333,0.4375
"10","RIE","2012",0,0,0,0.80952380952381,0.666666666666667,0,0.285714285714286,0.714285714285714,0.523809523809524,0.80952380952381,0.285714285714286,0.476190476190476,0.285714285714286,0.476190476190476,0.380952380952381
"11","RIE","2013",0.607142857142857,0.428571428571429,0,0.607142857142857,0.75,0.25,0.25,0.678571428571428,0.464285714285714,0.678571428571428,0.428571428571429,0.571428571428571,0.25,0.428571428571429,0.456632653061224
"12","RIE","2014",0.5,0.5,0,0.833333333333333,1,0,0,0.5,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0,1,0.535714285714286
"13","RIE","2015",0.5,0.666666666666667,0,0.833333333333333,1,0,0,0.833333333333333,0.666666666666667,0.5,0.833333333333333,0.666666666666667,0,0.5,0.5
"14","TRO","2011",0.6,0,0,0,0,0.6,0.6,0.4,0,0.6,0.6,0,0,0,0.242857142857143
"15","TRO","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","SCG","2011",0,0,0,0.9,0.6,0,0.4,0.6,0,0.8,0,0.4,0.4,0.6,0.335714285714286
"17","SCG","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BOH","2011",0.222222222222222,0.555555555555556,0,0.694444444444444,0.583333333333333,0.222222222222222,0,0.5,0.555555555555556,0.555555555555556,0,0,0,0.666666666666667,0.325396825396825
