"","Pop","2011","2012","2013","2017","2014","2015","2016","2018","2019","2020","2023"
"1","FRE",2,1,2,1,0,0,0,0,0,0,0
"2","ALD",6,2,1,0,3,0,0,0,0,0,0
"3","RIE",16,7,8,0,4,4,0,0,0,0,0
"4","TRO",5,0,1,0,0,0,0,0,0,0,0
"5","SCG",5,0,0,0,1,0,0,0,0,0,0
"6","BOH",9,10,4,0,4,0,0,0,0,0,0
"7","BOB",5,15,21,26,19,7,12,15,5,0,0
"8","FRB",2,2,3,0,0,0,0,0,0,0,0
"9","UEB",7,4,6,0,9,3,0,0,0,0,0
"10","SCL",0,22,6,2,7,1,1,0,0,0,0
"11","SCD",0,22,5,0,2,8,3,0,0,0,0
"12","WSL",0,1,0,0,0,0,2,0,0,1,0
"13","BUR",0,0,11,0,4,2,2,0,0,0,0
"14","SCS",0,0,4,0,2,0,0,0,0,0,0
"15","NEU",0,0,2,0,1,1,1,0,0,1,0
"16","UST",0,0,15,0,7,0,0,0,0,0,0
"17","KON",0,0,3,3,6,1,4,3,2,1,2
"18","FRI",0,0,7,2,1,1,0,0,0,0,0
"19","BAR",0,0,0,0,1,0,0,0,0,0,0
"20","BRU",0,0,0,1,0,0,5,6,0,0,0
"21","LIM",0,0,0,3,0,0,12,0,0,0,0
"22","HAN",0,0,0,5,0,0,1,1,0,0,0
"23","GEN",0,0,0,0,0,0,0,1,0,1,0
"24","Total",0,0,0,0,0,0,0,0,0,0,0
