,FRE,ALD,RIE,TRO,SCG,BOH,BOB,FRB,UEB,SCL,SCD,WSL,BUR,SCS,NEU,UST,KON,FRI,BAR,BRU,LIM,HAN,GEN
FRE,NA,0.312,0.2579,0.3632,0.2717,0.2572,0.2349,-0.0288,0.409,0.3371,0.2649,0.264,0.3199,0.3351,0.3556,0.2594,0.3538,0.0982,-0.0264,0.1058,0.1181,0.288,0.24
ALD,0.312,NA,0.2044,0.4024,0.4543,0.3295,0.2144,0.4176,0.3931,0.4817,0.3661,0.2422,0.5136,0.3868,0.3439,0.2151,0.353,0.2357,0.4206,0.219,0.2364,0.3675,0.3102
RIE,0.2579,0.2044,NA,0.3715,0.3649,0.2832,0.1503,0.3451,0.3931,0.3589,0.2382,0.2378,0.4476,0.3809,0.2301,0.2318,0.3188,0.2014,0.2423,0.1695,0.187,0.226,0.2265
TRO,0.3632,0.4024,0.3715,NA,0.4697,0.4217,0.3534,0.4622,0.4887,0.5168,0.4519,0.4017,0.4987,0.472,0.3526,0.3621,0.5144,0.325,0.5655,0.2953,0.2462,0.4569,0.415
SCG,0.2717,0.4543,0.3649,0.4697,NA,0.4344,0.3376,0.3523,0.5205,0.1302,0.1848,0.3759,0.4311,0.3163,0.464,0.3523,0.4547,0.3014,0.2952,0.1883,0.1545,0.3935,0.1467
BOH,0.2572,0.3295,0.2832,0.4217,0.4344,NA,0.1755,0.3938,0.4041,0.4618,0.3482,0.3591,0.4669,0.3211,0.2878,0.2063,0.326,0.1547,0.3821,0.1265,0.12,0.2676,0.3245
BOB,0.2349,0.2144,0.1503,0.3534,0.3376,0.1755,NA,0.3346,0.3371,0.4113,0.24,0.2852,0.4197,0.3269,0.2688,0.1738,0.3453,0.1493,0.2541,0.1268,0.1324,0.255,0.23
FRB,-0.0288,0.4176,0.3451,0.4622,0.3523,0.3938,0.3346,NA,0.5185,0.4462,0.3685,0.3705,0.3359,0.4163,0.4562,0.3698,0.4642,0.1899,0.1925,0.209,0.2119,0.4105,0.3847
UEB,0.409,0.3931,0.3931,0.4887,0.5205,0.4041,0.3371,0.5185,NA,0.5089,0.4409,0.3802,0.5739,0.496,0.4925,0.3257,0.5142,0.3289,0.4958,0.2963,0.3066,0.4093,0.3183
SCL,0.3371,0.4817,0.3589,0.5168,0.1302,0.4618,0.4113,0.4462,0.5089,NA,0.2143,0.365,0.515,0.4532,0.4075,0.4059,0.4659,0.3783,0.3302,0.2455,0.2394,0.3247,0.2577
SCD,0.2649,0.3661,0.2382,0.4519,0.1848,0.3482,0.24,0.3685,0.4409,0.2143,NA,0.2675,0.435,0.3806,0.3868,0.2884,0.4133,0.2369,0.2569,0.1453,0.1733,0.2118,0.1934
WSL,0.264,0.2422,0.2378,0.4017,0.3759,0.3591,0.2852,0.3705,0.3802,0.365,0.2675,NA,0.4352,0.365,0.372,0.3328,0.352,0.1497,0.3333,0.1051,0.1245,0.3329,0.3108
BUR,0.3199,0.5136,0.4476,0.4987,0.4311,0.4669,0.4197,0.3359,0.5739,0.515,0.435,0.4352,NA,0.471,0.5153,0.4574,0.534,0.3214,0.4045,0.2293,0.2656,0.4902,0.4421
SCS,0.3351,0.3868,0.3809,0.472,0.3163,0.3211,0.3269,0.4163,0.496,0.4532,0.3806,0.365,0.471,NA,0.4925,0.2961,0.3682,0.1789,0.5071,0.1419,0.1063,0.378,0.1214
NEU,0.3556,0.3439,0.2301,0.3526,0.464,0.2878,0.2688,0.4562,0.4925,0.4075,0.3868,0.372,0.5153,0.4925,NA,0.3299,0.3663,0.3219,0.5556,0.2372,0.2344,0.3516,0.4184
UST,0.2594,0.2151,0.2318,0.3621,0.3523,0.2063,0.1738,0.3698,0.3257,0.4059,0.2884,0.3328,0.4574,0.2961,0.3299,NA,0.3169,0.1817,0.2884,0.1486,0.1308,0.2344,0.1172
KON,0.3538,0.353,0.3188,0.5144,0.4547,0.326,0.3453,0.4642,0.5142,0.4659,0.4133,0.352,0.534,0.3682,0.3663,0.3169,NA,0.3137,0.5615,0.2631,0.2638,0.3745,0.2949
FRI,0.0982,0.2357,0.2014,0.325,0.3014,0.1547,0.1493,0.1899,0.3289,0.3783,0.2369,0.1497,0.3214,0.1789,0.3219,0.1817,0.3137,NA,0.1673,0.0178,0.0197,0.2406,0.1741
BAR,-0.0264,0.4206,0.2423,0.5655,0.2952,0.3821,0.2541,0.1925,0.4958,0.3302,0.2569,0.3333,0.4045,0.5071,0.5556,0.2884,0.5615,0.1673,NA,-0.0603,0.0187,0.2963,0.2
BRU,0.1058,0.219,0.1695,0.2953,0.1883,0.1265,0.1268,0.209,0.2963,0.2455,0.1453,0.1051,0.2293,0.1419,0.2372,0.1486,0.2631,0.0178,-0.0603,NA,-0.0386,0.1652,0.0385
LIM,0.1181,0.2364,0.187,0.2462,0.1545,0.12,0.1324,0.2119,0.3066,0.2394,0.1733,0.1245,0.2656,0.1063,0.2344,0.1308,0.2638,0.0197,0.0187,-0.0386,NA,0.175,0.0618
HAN,0.288,0.3675,0.226,0.4569,0.3935,0.2676,0.255,0.4105,0.4093,0.3247,0.2118,0.3329,0.4902,0.378,0.3516,0.2344,0.3745,0.2406,0.2963,0.1652,0.175,NA,0.2026
GEN,0.24,0.3102,0.2265,0.415,0.1467,0.3245,0.23,0.3847,0.3183,0.2577,0.1934,0.3108,0.4421,0.1214,0.4184,0.1172,0.2949,0.1741,0.2,0.0385,0.0618,0.2026,NA
