Code,1,2,3,4,5,6
BUR80,0.003,0.004,0.9793,0.0049,0.0042,0.0046
TROSS1,0.0263,0.0098,0.004,0.0109,0.0077,0.9413
SCHLI9,0.0126,0.9468,0.007,0.0141,0.0071,0.0124
BOHBU76,0.7109,0.0154,0.0053,0.1846,0.0647,0.019
BOHBU51,0.309,0.0244,0.005,0.5949,0.0389,0.0278
BOHBU92,0.0086,0.0156,0.0041,0.9483,0.0149,0.0086
BOHBU83,0.6095,0.01,0.005,0.307,0.0317,0.0369
BOHBU360,0.0111,0.0078,0.004,0.9585,0.0116,0.007
BOHBU452,0.0611,0.0079,0.005,0.9098,0.0069,0.0093
BOHBU495,0.0087,0.0063,0.004,0.9658,0.0084,0.0068
BOHBU57,0.0158,0.0056,0.004,0.9573,0.0071,0.0102
BOHBU39,0.113,0.0078,0.0041,0.7895,0.053,0.0326
RIETH59,0.7791,0.0515,0.0073,0.0177,0.01,0.1344
BRU224,0.0547,0.1153,0.0059,0.7689,0.0268,0.0284
SCHLIDR12,0.0126,0.9308,0.0042,0.0261,0.0159,0.0104
BOHBU465,0.9574,0.0068,0.005,0.0137,0.006,0.0112
BOHHAS36,0.931,0.0111,0.005,0.0149,0.0083,0.0297
BOHHAS53,0.9543,0.0086,0.005,0.0114,0.0083,0.0123
BOHHAS7,0.914,0.0172,0.005,0.0126,0.0134,0.0378
BOHBU440,0.9483,0.0061,0.0044,0.0262,0.0069,0.008
BOHBU482,0.9239,0.0101,0.0049,0.0355,0.0104,0.0151
BOHBU37,0.0424,0.0163,0.0046,0.9213,0.0062,0.0091
RIETH48,0.1197,0.0626,0.0043,0.7775,0.0063,0.0296
TROSS12,0.2699,0.0168,0.0046,0.0277,0.0181,0.663
BUR32,0.8175,0.0436,0.0057,0.0502,0.0159,0.0671
FRIC42,0.0329,0.0177,0.0061,0.0287,0.0382,0.8765
LIM019,0.0909,0.0318,0.0047,0.0121,0.0373,0.8233
SCHLIDR27,0.0128,0.9289,0.007,0.0271,0.0086,0.0157
SCHLIDR26,0.02,0.3739,0.0049,0.0512,0.0151,0.5349
SCHLIDR30,0.006,0.9379,0.005,0.0162,0.0102,0.0247
SCHLIDR109,0.0323,0.8363,0.006,0.0284,0.0061,0.0908
SCHLI3,0.0067,0.908,0.005,0.022,0.0139,0.0444
SCHLIGR354,0.0048,0.9488,0.0228,0.0072,0.0051,0.0113
UST40,0.1374,0.1571,0.0059,0.0907,0.0493,0.5596
TROSS3,0.0548,0.013,0.004,0.0144,0.0099,0.9039
LIM022,0.0123,0.682,0.0043,0.1167,0.0207,0.1639
RIETH65,0.066,0.39,0.0058,0.0206,0.0761,0.4415
LIM039,0.0327,0.2229,0.005,0.0061,0.0235,0.7098
SCHLIGR4,0.0051,0.9722,0.0041,0.005,0.006,0.0076
UEBERL87,0.021,0.028,0.0052,0.0241,0.9045,0.0172
SCHLIGR28,0.0345,0.4037,0.004,0.027,0.2592,0.2716
BRU026,0.04,0.0971,0.004,0.042,0.016,0.8008
SCHLIGR23,0.0347,0.2911,0.005,0.2303,0.2511,0.1879
SCHLIDR23,0.0394,0.5822,0.0046,0.2564,0.0352,0.0822
SCHLIGR22,0.0198,0.6189,0.0053,0.0704,0.1104,0.1751
UST38,0.0142,0.0184,0.004,0.0147,0.0131,0.9355
LIM078,0.1135,0.2014,0.0072,0.0146,0.0086,0.6548
BUR78,0.004,0.0065,0.9745,0.005,0.004,0.006
BUR2,0.004,0.005,0.975,0.0056,0.0044,0.006
BUR1,0.004,0.0042,0.9804,0.004,0.003,0.0043
BUR83,0.0071,0.0064,0.9273,0.0342,0.0139,0.011
BUR90,0.0089,0.0066,0.9592,0.0062,0.0069,0.0122
BUR71,0.004,0.005,0.9763,0.0053,0.0042,0.0051
BUR91,0.004,0.004,0.9808,0.0042,0.003,0.004
BUR73,0.004,0.0043,0.9807,0.004,0.003,0.004
ALD27,0.0093,0.0131,0.0032,0.0346,0.0148,0.925
FRIC58,0.0158,0.0672,0.0072,0.0312,0.0097,0.8689
KON4,0.0214,0.0062,0.0031,0.0149,0.0087,0.9457
KON3,0.0127,0.0077,0.003,0.0087,0.008,0.96
ALD14,0.0151,0.021,0.0031,0.0623,0.0221,0.8764
SCHLIDR34,0.0271,0.2801,0.005,0.0964,0.0076,0.5838
KON1,0.0107,0.0089,0.0541,0.0099,0.0079,0.9086
UST11,0.0409,0.0153,0.004,0.331,0.0412,0.5676
LIM005,0.0445,0.0189,0.004,0.0102,0.0098,0.9127
LIM005,0.0437,0.0193,0.004,0.0101,0.0097,0.9132
FRIC37,0.0699,0.0586,0.0074,0.028,0.0122,0.8239
LIM074,0.021,0.0288,0.0053,0.0131,0.0114,0.9203
BOHBU30,0.7461,0.0207,0.007,0.0092,0.0114,0.2055
BOHBU121,0.8885,0.005,0.0031,0.0632,0.013,0.0271
UST2,0.1395,0.0151,0.0087,0.0319,0.5272,0.2776
BOHBU534,0.011,0.0194,0.0039,0.9434,0.0114,0.0108
BOHHAS39,0.2623,0.0146,0.0039,0.0189,0.0092,0.6911
HAN011,0.0713,0.723,0.0039,0.016,0.0091,0.1767
HAN002,0.1044,0.6851,0.004,0.0188,0.0167,0.1711
BOHBU90,0.5336,0.0218,0.003,0.3856,0.025,0.031
BOHBU68,0.0248,0.0598,0.0048,0.7645,0.0062,0.14
RIETH51,0.8842,0.0336,0.0031,0.0181,0.0072,0.0538
RIETH8,0.0668,0.0199,0.004,0.8819,0.0117,0.0158
BOHBU248,0.9593,0.0054,0.003,0.0122,0.0066,0.0134
UST21,0.1977,0.2421,0.004,0.2259,0.0413,0.2889
KON11,0.0614,0.0188,0.0034,0.0093,0.019,0.888
KON199,0.0192,0.0241,0.003,0.0084,0.0181,0.9271
KON21,0.037,0.0061,0.003,0.0126,0.009,0.9323
KON98,0.0456,0.0123,0.0032,0.0066,0.0118,0.9205
KON153,0.0347,0.0272,0.003,0.0179,0.007,0.9102
KON72,0.0152,0.0139,0.003,0.0107,0.0143,0.9429
KON17,0.017,0.0076,0.003,0.0074,0.0084,0.9565
RIETH41,0.7224,0.1161,0.0056,0.0163,0.0079,0.1317
KON127,0.0347,0.0096,0.0031,0.0099,0.011,0.9318
KON304,0.0222,0.0237,0.004,0.0057,0.0087,0.9358
UST42,0.4275,0.0647,0.0039,0.0928,0.0158,0.3953
KON24,0.0121,0.024,0.004,0.0054,0.0077,0.9468
RIETH36,0.8905,0.0159,0.003,0.016,0.0124,0.0621
RIETH14,0.9157,0.0163,0.003,0.027,0.0154,0.0225
RIETH6,0.882,0.0149,0.003,0.0521,0.0153,0.0327
BRU225,0.0218,0.0222,0.0048,0.0111,0.0165,0.9236
RIETH2,0.2678,0.4537,0.0048,0.0281,0.0587,0.187
KON200,0.0457,0.0457,0.0042,0.0053,0.0092,0.8899
UEBERL34,0.9465,0.005,0.003,0.011,0.0168,0.0177
BOHBU437,0.9227,0.006,0.003,0.015,0.0283,0.025
BOHBU107,0.729,0.0187,0.003,0.1506,0.0787,0.0201
SCHIF7,0.0203,0.0099,0.004,0.006,0.0087,0.9511
BOHBU226,0.8942,0.0097,0.003,0.0511,0.025,0.017
BOHBU140,0.951,0.0073,0.003,0.0213,0.0098,0.0076
BOHBU27,0.6551,0.0098,0.003,0.0649,0.2359,0.0312
BOHBU509,0.9088,0.0083,0.003,0.0329,0.0358,0.0112
BOHBU468,0.5686,0.0128,0.0083,0.1432,0.0797,0.1874
BOHBU127,0.9692,0.0053,0.003,0.0059,0.0069,0.0097
BOHBU162,0.9593,0.0083,0.003,0.0153,0.006,0.008
BOHBU137,0.9648,0.0052,0.003,0.0101,0.0072,0.0097
BOHBU160,0.9662,0.0057,0.003,0.0072,0.0086,0.0093
BOHBU434,0.9637,0.0054,0.003,0.0079,0.006,0.014
BUR98,0.0037,0.0031,0.9825,0.004,0.0031,0.0036
SCHIF8,0.0569,0.0176,0.0048,0.0066,0.0097,0.9045
RIETH45,0.9285,0.0251,0.003,0.0118,0.0062,0.0253
RIETH29,0.9522,0.0122,0.003,0.0069,0.0041,0.0215
RIETH24,0.9215,0.0263,0.003,0.0187,0.0076,0.0229
SCHLIGR44,0.0144,0.3239,0.0169,0.0073,0.0151,0.6223
BOHBU363,0.0084,0.0071,0.004,0.9673,0.006,0.0071
SCHLIDR13,0.0057,0.9698,0.0049,0.0079,0.005,0.0068
SCHLIGR38,0.0098,0.911,0.004,0.0282,0.0172,0.0298
SCHLIDR9,0.0073,0.9593,0.0046,0.0099,0.0087,0.0102
LIM004,0.6184,0.1,0.0093,0.0436,0.0153,0.2134
LIM004,0.61240000000000006,0.1011,0.0093,0.0458,0.0149,0.2165
SCHLIDR68,0.0101,0.9544,0.006,0.0111,0.006,0.0123
SCHIF1,0.0485,0.0156,0.004,0.0073,0.0119,0.9127
SCHIF1,0.0464,0.0158,0.004,0.0073,0.0119,0.9146
SCHLIDR8,0.0116,0.9343,0.0091,0.0271,0.0053,0.0126
