,FRE,ALD,RIE,TRO,SCG,BOH,BOB,FRB,UEB,SCL,SCD,WSL,BUR,SCS,NEU,UST,KON,FRI,BAR,BRU,LIM,HAN,GEN
FRE,0,0.09026601,0.077294073,0.10021322,0.071698113,0.073914638,0.068371837,-0.009071993,0.123903395,0.098649054,0.078012645,0.067379679,0.098137379,0.088510638,0.09634932,0.074115503,0.099251747,0.024654436,-0.016888889,0.030552449,0.034312831,0.07992577,0.055802008
ALD,0.09026601,0,0.041097282,0.087435975,0.112704083,0.069451642,0.042883669,0.123673816,0.081177945,0.118148401,0.082816574,0.048204078,0.165882073,0.085585855,0.067987027,0.04230224,0.074906783,0.055373772,0.101580135,0.053407185,0.056455693,0.084749169,0.070514169
RIE,0.077294073,0.041097282,0,0.082864623,0.085879535,0.061185439,0.031220577,0.101559485,0.087784614,0.081195746,0.050673066,0.049396596,0.144201094,0.090009404,0.041831634,0.050292414,0.070348126,0.050123391,0.054821468,0.043837407,0.046895136,0.047172068,0.049243553
TRO,0.10021322,0.087435975,0.082864623,0,0.11047041,0.091320557,0.075468277,0.133537144,0.104675487,0.122072477,0.104968726,0.089402529,0.147968204,0.107272727,0.065048544,0.076695606,0.120975573,0.075894351,0.145132743,0.070069731,0.053133027,0.109713405,0.099307159
SCG,0.071698113,0.112704083,0.085879535,0.11047041,0,0.102451836,0.075475963,0.092966249,0.126282768,0.021105296,0.033320094,0.085516844,0.125910343,0.062470496,0.106422018,0.078636675,0.10563207,0.071996388,0.059047619,0.041065483,0.031040548,0.091900852,0.029052403
BOH,0.073914638,0.069451642,0.061185439,0.091320557,0.102451836,0,0.033162698,0.11437414,0.081147832,0.106549121,0.075079522,0.079864668,0.143688296,0.064585224,0.051376366,0.039640526,0.065476415,0.035012073,0.083366478,0.030124797,0.026637166,0.054063892,0.073487053
BOB,0.068371837,0.042883669,0.031220577,0.075468277,0.075475963,0.033162698,0,0.096642627,0.067935103,0.096715989,0.050225718,0.061610761,0.128968986,0.071180353,0.050317534,0.034826632,0.074719577,0.035622938,0.054819359,0.032289475,0.03200071,0.054128963,0.048817674
FRB,-0.009071993,0.123673816,0.101559485,0.133537144,0.092966249,0.11437414,0.096642627,0,0.164134336,0.13320632,0.106873504,0.099804417,0.104706122,0.113337323,0.129229743,0.10721644,0.138871258,0.047603606,0.041975309,0.058196051,0.058500692,0.119789008,0.106404222
UEB,0.123903395,0.081177945,0.087784614,0.104675487,0.126282768,0.081147832,0.067935103,0.164134336,0,0.111625404,0.096075467,0.079551064,0.18456449,0.112934141,0.103748749,0.064384351,0.114925932,0.080135053,0.099550056,0.074897888,0.074771868,0.089139095,0.066362093
SCL,0.098649054,0.118148401,0.081195746,0.122072477,0.021105296,0.106549121,0.096715989,0.13320632,0.111625404,0,0.037786252,0.078171379,0.160971945,0.101821276,0.080239984,0.093523612,0.103547421,0.100618442,0.058999253,0.061896583,0.05722852,0.06689871,0.052603985
SCD,0.078012645,0.082816574,0.050673066,0.104968726,0.033320094,0.075079522,0.050225718,0.106873504,0.096075467,0.037786252,0,0.054889353,0.133840899,0.084324395,0.080523664,0.062223392,0.093679726,0.058285552,0.051519977,0.036010309,0.041287885,0.041358389,0.039847485
WSL,0.067379679,0.048204078,0.049396596,0.089402529,0.085516844,0.079864668,0.061610761,0.099804417,0.079551064,0.078171379,0.054889353,0,0.129612434,0.078298486,0.078558771,0.074736434,0.07526448,0.028934539,0.074074074,0.018554063,0.022891381,0.074409251,0.071057192
BUR,0.098137379,0.165882073,0.144201094,0.147968204,0.125910343,0.143688296,0.128968986,0.104706122,0.18456449,0.160971945,0.133840899,0.129612434,0,0.138668408,0.153643776,0.141813911,0.155541762,0.099336133,0.119613017,0.074383374,0.084465748,0.155804681,0.135936998
SCS,0.088510638,0.085585855,0.090009404,0.107272727,0.062470496,0.064585224,0.071180353,0.113337323,0.112934141,0.101821276,0.084324395,0.078298486,0.138668408,0,0.113358491,0.060775468,0.075798694,0.034875605,0.116814159,0.028791594,0.019654251,0.083906582,0.019842348
NEU,0.09634932,0.067987027,0.041831634,0.065048544,0.106422018,0.051376366,0.050317534,0.129229743,0.103748749,0.080239984,0.080523664,0.078558771,0.153643776,0.113358491,0,0.065766423,0.06983185,0.073825209,0.135135135,0.051510261,0.04899704,0.072253728,0.099071207
UST,0.074115503,0.04230224,0.050292414,0.076695606,0.078636675,0.039640526,0.034826632,0.10721644,0.064384351,0.093523612,0.062223392,0.074736434,0.141813911,0.060775468,0.065766423,0,0.065792154,0.042481928,0.061652873,0.036006935,0.029740646,0.047778462,0.021890763
KON,0.099251747,0.074906783,0.070348126,0.120975573,0.10563207,0.065476415,0.074719577,0.138871258,0.114925932,0.103547421,0.093679726,0.07526448,0.155541762,0.075798694,0.06983185,0.065792154,0,0.077758736,0.13427405,0.066869969,0.064641244,0.08304841,0.062088282
FRI,0.024654436,0.055373772,0.050123391,0.075894351,0.071996388,0.035012073,0.035622938,0.047603606,0.080135053,0.100618442,0.058285552,0.028934539,0.099336133,0.034875605,0.073825209,0.042481928,0.077758736,0,0.035662651,0.004549833,0.004621446,0.055966629,0.034121578
BAR,-0.016888889,0.101580135,0.054821468,0.145132743,0.059047619,0.083366478,0.054819359,0.041975309,0.099550056,0.058999253,0.051519977,0.074074074,0.119613017,0.116814159,0.135135135,0.061652873,0.13427405,0.035662651,0,-0.019834711,0.000776398,0.064,0.042253521
BRU,0.030552449,0.053407185,0.043837407,0.070069731,0.041065483,0.030124797,0.032289475,0.058196051,0.074897888,0.061896583,0.036010309,0.018554063,0.074383374,0.028791594,0.051510261,0.036006935,0.066869969,0.004549833,-0.019834711,0,-0.009218967,0.036935324,-0.000124766
LIM,0.034312831,0.056455693,0.046895136,0.053133027,0.031040548,0.026637166,0.03200071,0.058500692,0.074771868,0.05722852,0.041287885,0.022891381,0.084465748,0.019654251,0.04899704,0.029740646,0.064641244,0.004621446,0.000776398,-0.009218967,0,0.03827244,0.006529006
HAN,0.07992577,0.084749169,0.047172068,0.109713405,0.091900852,0.054063892,0.054128963,0.119789008,0.089139095,0.06689871,0.041358389,0.074409251,0.155804681,0.083906582,0.072253728,0.047778462,0.08304841,0.055966629,0.064,0.036935324,0.03827244,0,0.042126755
GEN,0.055802008,0.070514169,0.049243553,0.099307159,0.029052403,0.073487053,0.048817674,0.106404222,0.066362093,0.052603985,0.039847485,0.071057192,0.135936998,0.019842348,0.099071207,0.021890763,0.062088282,0.034121578,0.042253521,-0.000124766,0.006529006,0.042126755,0
