"","FRE","ALD","RIE","TRO","SCG","BOH","BOB","FRB","UEB","SCL","SCD","WSL","BUR","SCS","NEU","UST","KON","FRI","BAR","BRU","LIM","HAN","GEN"
"FRE",0,0.0992224222422242,0.0837689135842171,0.111374407582938,0.0772357723577236,0.0798140660345385,0.0733896199338326,-0.00899043220059387,0.141426635134849,0.10944577634143,0.0846135731586974,0.0722477064220183,0.10881632808783,0.0971055088702148,0.106622306717364,0.080048324378152,0.11018810929562,0.0252776425308943,-0.0166083916083916,0.031515319306017,0.0355320355320355,0.0868688273751565,0.0590999010880317
"ALD",0.0992224222422242,0,0.0428586564950201,0.0958135235076598,0.127019725107544,0.0746351773322728,0.0448050749404771,0.141127605903331,0.0883500184366806,0.13397764623241,0.0902944512476663,0.0506453926138401,0.198871247737425,0.0935963811316808,0.0729464380226527,0.0441707619302421,0.0809721454143261,0.058619769464834,0.113065326633166,0.0564204423448572,0.0598336428057145,0.0925966588260773,0.0758636300320379
"RIE",0.0837689135842171,0.0428586564950201,0,0.0903515719016777,0.0939477218508464,0.0651730826513931,0.032226713499317,0.113039742497969,0.0962323315437758,0.0883711033088627,0.053377886897487,0.0519634113834369,0.168498806146442,0.0989124546781687,0.0436579163358943,0.0529556832474689,0.0756714725784701,0.0527683179559188,0.0580011780875711,0.0458472312194763,0.0492024932971767,0.0495074362449735,0.0517940768916733
"TRO",0.111374407582938,0.0958135235076598,0.0903515719016777,0,0.124189696349369,0.100498099676722,0.08162865085427,0.154117563412076,0.11691346006046,0.13904618925945,0.117279394937983,0.0981800766283525,0.173665119603468,0.120162932790224,0.0695742471443406,0.0830664367249733,0.13762481410665,0.0821273535633487,0.169772256728778,0.0753494467093768,0.056114563809148,0.123233805572802,0.11025641025641
"SCG",0.0772357723577236,0.127019725107544,0.0939477218508464,0.124189696349369,0,0.11414633752041,0.0816376423121422,0.102494806155146,0.144535054735558,0.0215603335193774,0.0344685902118335,0.0935138539042821,0.14404740109708,0.0666330983551527,0.119096509240246,0.0853481708410263,0.118108069977427,0.0775820127884348,0.062753036437247,0.0428240740740741,0.0320349293563579,0.101201341031849,0.0299217002237136
"BOH",0.0798140660345385,0.0746351773322728,0.0651730826513931,0.100498099676722,0.11414633752041,0,0.0343001849288611,0.12914498660417,0.0883143500719589,0.119255712308861,0.0811740298802401,0.0867966544964914,0.167799056496026,0.0690444775312408,0.0541588508043233,0.0412767587044098,0.0700639514500901,0.036282394695936,0.0909485377071944,0.0310604877540928,0.0273661214807116,0.0571538518534453,0.0793157328585471
"BOB",0.0733896199338326,0.0448050749404771,0.032226713499317,0.08162865085427,0.0816376423121422,0.0343001849288611,0,0.106981611041049,0.0728866663564755,0.107071516590077,0.0528817412771488,0.0656558692827554,0.148064746005687,0.0766352792100894,0.0529835343212188,0.0360832916449934,0.0807534398697027,0.0369388068102414,0.0579988172784593,0.0333668737830895,0.033058609394967,0.057226578371881,0.0513231504335772
"FRB",-0.00899043220059387,0.141127605903331,0.113039742497969,0.154117563412076,0.102494806155146,0.12914498660417,0.106981611041049,0,0.196364491612967,0.153677078466306,0.1196622254144,0.110869703121035,0.116951679024985,0.127824623529618,0.148408540062732,0.12009231006767,0.161266546648311,0.0499829762572077,0.0438144329896907,0.0617921081476069,0.0621356712442134,0.136091242992461,0.119074221867518
"UEB",0.141426635134849,0.0883500184366806,0.0962323315437758,0.11691346006046,0.144535054735558,0.0883143500719589,0.0728866663564755,0.196364491612967,0,0.125651279121843,0.106287044392041,0.0864263740622324,0.226338548198522,0.127312013350195,0.115758553827264,0.0688149568194288,0.129848942995485,0.0871161067588515,0.110555902560899,0.0809617520199185,0.0808145210663711,0.0978624664070968,0.0710790477252164
"SCL",0.10944577634143,0.13397764623241,0.0883711033088627,0.13904618925945,0.0215603335193774,0.119255712308861,0.107071516590077,0.153677078466306,0.125651279121843,0,0.0392701232821588,0.0848003387111151,0.191855258777914,0.113364158970869,0.0872401311425702,0.103172695115608,0.115507974243858,0.111875145146085,0.0626984126984126,0.0659805540245764,0.0607024300513732,0.0716950137132946,0.0555248109204944
