"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"FRE_2011",2,2,2,1,2,1,2,1,2,2,2,2,2,2,1.78571428571429,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.392857142857143,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0.785714285714286,1,1,1,NA,1,NA,1,NA,1,1,1,1,1,1,1
"FRE_2012",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRE_2013",2,2,2,1,2,2,2,1,2,2,2,2,2,2,1.85714285714286,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.428571428571429,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.857142857142857,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1
"FRE_2017",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALD_2011",4,2,1,2,3,1,2,3,3,2,1,1,2,2,2.07142857142857,0.722222222222222,0.444444444444444,0,0.444444444444444,0.611111111111111,0,0.277777777777778,0.5,0.611111111111111,0.5,0,0,0.277777777777778,0.277777777777778,0.333333333333333,0.866666666666667,0.533333333333333,0,0.533333333333333,0.733333333333333,0,0.333333333333333,0.6,0.733333333333333,0.6,0,0,0.333333333333333,0.333333333333333,0.4,0.935331486891243,0.898996026681149,NA,0.898996026681149,0.898236726504719,NA,0.675721005434548,0.724059704198338,0.898236726504719,1,NA,NA,0.675721005434548,0.675721005434548,0.828101971376496
"ALD_2012",2,1,1,2,2,2,1,1,2,2,1,1,1,1,1.42857142857143,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0.214285714285714,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0.428571428571429,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1
"ALD_2013",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALD_2014",2,1,1,1,1,1,1,1,1,1,2,1,1,1,1.14285714285714,0.444444444444444,0,0,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0.0634920634920635,0.666666666666667,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.0952380952380952,0.898996026681149,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898996026681149,NA,NA,NA,0.898996026681149
"RIE_2011",3,2,1,4,5,1,1,3,3,4,3,2,2,3,2.64285714285714,0.5859375,0.1171875,0,0.6484375,0.6796875,0,0,0.5078125,0.6640625,0.6953125,0.5703125,0.4921875,0.3046875,0.4765625,0.41015625,0.625,0.125,0,0.691666666666667,0.725,0,0,0.541666666666667,0.708333333333333,0.741666666666667,0.608333333333333,0.525,0.325,0.508333333333333,0.4375,0.844647462023953,0.503997010718435,NA,0.838934026124389,0.739020096743772,NA,NA,0.797010470951508,0.994075196381683,0.914877131426763,0.841051301730874,0.984595131069078,0.706498281313375,0.702214795159041,0.806083718512988
"RIE_2012",1,1,1,4,3,1,2,3,3,4,2,2,2,2,2.21428571428571,0,0,0,0.693877551020408,0.571428571428571,0,0.244897959183674,0.612244897959184,0.448979591836735,0.693877551020408,0.244897959183674,0.408163265306122,0.244897959183674,0.408163265306122,0.326530612244898,0,0,0,0.80952380952381,0.666666666666667,0,0.285714285714286,0.714285714285714,0.523809523809524,0.80952380952381,0.285714285714286,0.476190476190476,0.285714285714286,0.476190476190476,0.380952380952381,NA,NA,NA,0.876518352651315,0.833078200015919,NA,0.639701696570802,0.912771516428777,0.669336279706564,0.876518352651315,0.639701696570802,0.84210218415071,0.639701696570802,0.84210218415071,0.777153215946771
