"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"FRE_2011",2,2,2,1,2,1,2,1,2,2,2,2,2,2,1.78571428571429,0.244897959183674,0.244897959183674,0.244897959183674,0,0.244897959183674,0,0.244897959183674,0,0.244897959183674,0.244897959183674,0.244897959183674,0.244897959183674,0.244897959183674,0.244897959183674,0.192419825072886,0.257142857142857,0.257142857142857,0.257142857142857,0,0.257142857142857,0,0.257142857142857,0,0.257142857142857,0.257142857142857,0.257142857142857,0.257142857142857,0.257142857142857,0.257142857142857,0.202040816326531,0.639701696570802,0.639701696570802,0.639701696570802,NA,0.639701696570802,NA,0.639701696570802,NA,0.639701696570802,0.639701696570802,0.639701696570802,0.639701696570802,0.639701696570802,0.639701696570802,0.639701696570802
"ALD_2011",4,2,1,2,3,1,2,3,3,2,1,1,2,2,2.07142857142857,0.357638888888889,0.152777777777778,0,0.375,0.288194444444444,0,0.0798611111111109,0.15625,0.291666666666667,0.277777777777778,0,0,0.0798611111111109,0.0798611111111109,0.152777777777778,0.373188405797101,0.159420289855073,0,0.391304347826087,0.300724637681159,0,0.0833333333333331,0.16304347826087,0.304347826086956,0.289855072463768,0,0,0.0833333333333331,0.0833333333333331,0.159420289855072,0.516363229652992,0.542819926336102,NA,0.794949052073454,0.559708122913628,NA,0.458951985267074,0.450109234103528,0.540828492685951,0.675721005434548,NA,NA,0.458951985267074,0.458951985267074,0.545735501900142
"RIE_2011",3,2,1,4,5,1,1,3,3,4,3,2,2,3,2.64285714285714,0.57617728531856,0.0997229916897509,0,0.626038781163435,0.614958448753463,0,0,0.45983379501385,0.664819944598338,0.681440443213296,0.57617728531856,0.465373961218837,0.265927977839335,0.476454293628809,0.393351800554017,0.608187134502924,0.105263157894737,0,0.660818713450292,0.649122807017544,0,0,0.485380116959064,0.701754385964912,0.719298245614035,0.608187134502924,0.491228070175439,0.280701754385965,0.502923976608187,0.415204678362573,0.826682568231733,0.483731224789589,NA,0.818288667244359,0.653340251634362,NA,NA,0.739595928890903,0.995800531354862,0.893787928802564,0.867656225329584,0.93484035719669,0.662565382432118,0.71036641400489,0.780605043628332
"TRO_2011",2,1,1,1,1,2,2,2,1,2,2,1,1,1,1.42857142857143,0.4296875,0,0,0,0,0.21875,0.4296875,0.21875,0,0.4296875,0.4296875,0,0,0,0.154017857142857,0.458333333333333,0,0,0,0,0.233333333333333,0.458333333333333,0.233333333333333,0,0.458333333333333,0.458333333333333,0,0,0,0.164285714285714,0.87510988474381,NA,NA,NA,NA,0.611929212534787,0.87510988474381,0.611929212534787,NA,0.87510988474381,0.87510988474381,NA,NA,NA,0.787382994007469
"SCG_2011",1,1,1,4,2,1,2,2,1,3,1,2,2,2,1.78571428571429,0,0,0,0.716049382716049,0.493827160493827,0,0.197530864197531,0.444444444444444,0,0.641975308641975,0,0.444444444444444,0.345679012345679,0.444444444444444,0.2663139329806,0,0,0,0.805555555555556,0.555555555555556,0,0.222222222222222,0.5,0,0.722222222222222,0,0.5,0.388888888888889,0.5,0.299603174603175,NA,NA,NA,0.930847292851189,0.9877922222672,NA,0.589715506629329,0.898996026681149,NA,0.94931185865922,NA,0.898996026681149,0.756410006077859,0.898996026681149,0.86388312081603
"BOH_2011",2,2,1,4,4,2,1,2,2,3,1,1,1,3,2.07142857142857,0.165289256198347,0.495867768595041,0,0.545454545454545,0.446280991735537,0.165289256198347,0,0.396694214876033,0.462809917355372,0.429752066115702,0,0,0,0.56198347107438,0.262101534828808,0.181818181818182,0.545454545454546,0,0.6,0.490909090909091,0.181818181818182,0,0.436363636363636,0.509090909090909,0.472727272727273,0,0,0,0.618181818181818,0.288311688311688,0.556030146561148,0.991797600718169,NA,0.662594956445928,0.565840885303224,0.556030146561148,NA,0.825320458359533,0.930316555889832,0.662637355947153,NA,NA,NA,0.855097693007126,0.733962866532585
"BOB_2011",1,2,1,2,3,1,1,1,1,3,2,2,2,2,1.71428571428571,0,0.277777777777778,0,0.444444444444444,0.666666666666667,0,0,0,0,0.5,0.277777777777778,0.444444444444444,0.444444444444444,0.444444444444444,0.25,0,0.333333333333333,0,0.533333333333333,0.8,0,0,0,0,0.6,0.333333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.3,NA,0.675721005434548,NA,0.898996026681149,1,NA,NA,NA,NA,0.724059704198338,0.675721005434548,0.898996026681149,0.898996026681149,0.898996026681149,0.833935727724004
"FRB_2011",2,1,1,2,1,2,1,1,1,1,1,2,1,2,1.35714285714286,0.375,0,0,0.375,0,0.375,0,0,0,0,0,0.375,0,0.375,0.133928571428571,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0.178571428571429,0.794949052073454,NA,NA,0.794949052073454,NA,0.794949052073454,NA,NA,NA,NA,NA,0.794949052073454,NA,0.794949052073454,0.794949052073454
"UEB_2011",1,2,1,1,1,1,2,1,3,1,1,1,2,1,1.35714285714286,0,0.444444444444444,0,0,0,0,0.417009602194787,0,0.260631001371742,0,0,0,0.482853223593964,0,0.114638447971781,0,0.461538461538462,0,0,0,0,0.433048433048433,0,0.270655270655271,0,0,0,0.501424501424502,0,0.119047619047619,NA,0.898996026681149,NA,NA,NA,NA,0.855419336296028,NA,0.53954951649065,NA,NA,NA,0.966746416851209,NA,0.815177824079759
"ALD_2012",2,1,1,2,2,3,1,1,2,2,1,1,1,1,1.5,0.277777777777778,0,0,0.277777777777778,0.277777777777778,0.291666666666667,0,0,0.277777777777778,0.277777777777778,0,0,0,0,0.120039682539683,0.303030303030303,0,0,0.303030303030303,0.303030303030303,0.318181818181818,0,0,0.303030303030303,0.303030303030303,0,0,0,0,0.130952380952381,0.675721005434548,NA,NA,0.675721005434548,0.675721005434548,0.540828492685951,NA,NA,0.675721005434548,0.675721005434548,NA,NA,NA,NA,0.653238919976448
