MLG,aest06_1_0,aest07_1_0,aest15_1_0,aest26_1_0,aest28_1_0,aest35_1_0,aest36_1_0,aest01_1_0,aest10_1_0,aest18_1_0,aest24_1_0,aest25_1_0,aest29_1_0,aest31_1_0
MLG1,212,256,322,157,359,164,350,260,299,160,313,140,209,308
MLG2,212,276,322,157,377,164,326,260,299,160,310,137,190,323
MLG3,217,256,312,157,356,148,326,242,280,160,301,122,216,308
MLG4,217,261,312,157,338,148,326,242,280,160,301,122,216,318
MLG5,217,261,312,157,383,148,326,242,280,160,298,122,211,308
MLG6,217,261,312,157,383,148,326,242,280,160,301,122,211,308
MLG7,217,276,322,157,353,164,322,260,299,160,313,137,209,318
MLG8,217,276,322,157,359,164,346,230,309,160,298,140,209,318
MLG9,217,276,322,157,359,164,346,230,309,160,313,140,209,318
MLG10,218,256,312,142,353,140,326,248,280,144,292,128,211,318
MLG11,218,256,312,142,353,148,326,236,295,140,292,122,211,313
MLG12,218,256,312,142,353,148,326,242,280,144,292,128,211,318
MLG13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
MLG14,218,256,312,142,353,152,322,242,280,144,298,128,216,308
MLG15,218,256,312,142,356,148,322,254,290,144,295,128,216,318
MLG16,218,256,312,142,356,148,326,242,280,140,298,128,216,313
MLG17,218,256,312,142,356,148,326,242,290,144,298,122,211,318
MLG18,218,256,312,142,356,148,326,242,290,144,298,122,216,318
MLG19,218,256,312,142,359,140,322,236,290,140,298,128,216,308
MLG20,218,256,312,142,359,148,322,236,290,140,298,128,216,283
MLG21,218,256,312,142,359,148,322,236,290,140,298,128,216,308
MLG22,218,256,312,142,359,148,322,242,290,144,298,122,216,300
MLG23,218,256,312,142,359,148,326,236,280,160,298,128,211,308
MLG24,218,256,312,142,359,148,326,242,290,160,298,122,211,308
MLG25,218,256,312,142,359,152,322,242,290,164,298,122,216,308
MLG26,218,256,312,142,359,156,322,236,290,140,298,128,216,308
MLG27,218,256,312,142,377,148,326,242,295,144,298,122,211,308
MLG28,218,256,312,142,383,148,326,236,280,140,298,128,216,308
MLG29,218,256,312,142,383,148,326,242,280,140,295,122,216,313
MLG30,218,256,312,142,383,148,326,242,280,140,298,122,216,308
MLG31,218,256,312,142,389,144,326,242,295,160,298,122,211,308
MLG32,218,256,312,142,389,148,322,242,280,160,298,128,211,318
MLG33,218,256,312,142,389,148,322,242,290,160,298,128,216,328
MLG34,218,256,312,142,389,148,322,248,295,144,298,122,221,313
MLG35,218,256,312,142,389,148,326,236,280,144,298,128,216,318
MLG36,218,256,312,142,389,148,326,236,295,144,298,128,216,318
MLG37,218,256,312,142,389,148,326,242,280,140,298,128,216,313
MLG38,218,256,312,142,389,148,326,242,280,160,298,128,211,308
MLG39,218,256,312,142,389,148,326,242,290,144,298,122,216,313
MLG40,218,256,312,142,389,148,326,242,290,144,298,122,216,318
MLG41,218,256,312,142,389,148,326,242,290,160,298,122,211,308
MLG42,218,256,312,142,389,148,326,242,295,160,298,122,211,308
MLG43,218,256,312,142,389,148,326,254,290,160,298,122,211,308
MLG44,218,256,312,142,389,152,322,254,295,160,298,128,216,318
MLG45,218,256,312,142,389,152,326,242,295,160,298,128,216,313
MLG46,218,256,312,142,492,148,326,242,295,144,298,128,216,318
MLG47,218,256,312,144,353,152,322,242,290,160,298,128,211,308
MLG48,218,256,312,145,338,148,326,236,280,140,298,122,216,318
MLG49,218,256,312,145,338,148,326,242,280,140,298,122,211,318
MLG50,218,256,312,145,353,148,326,236,295,144,298,128,216,313
MLG51,218,256,312,145,353,148,326,242,280,160,298,128,216,308
MLG52,218,256,312,145,353,152,322,242,290,160,298,128,211,308
MLG53,218,256,312,145,353,152,322,254,290,160,298,128,211,323
MLG54,218,256,312,145,356,148,322,242,280,160,298,128,211,318
MLG55,218,256,312,145,356,148,326,242,280,140,298,128,216,313
MLG56,218,256,312,145,356,148,326,242,290,140,295,128,211,318
MLG57,218,256,312,145,359,148,326,236,290,144,295,128,216,318
MLG58,218,256,312,145,359,148,326,236,290,160,298,122,211,308
MLG59,218,256,312,145,359,148,326,242,280,140,298,128,216,308
MLG60,218,256,312,145,359,148,326,242,280,140,298,128,216,318
MLG61,218,256,312,145,359,148,326,242,290,160,298,122,211,308
MLG62,218,256,312,145,383,148,322,242,280,140,298,128,216,313
MLG63,218,256,312,145,383,148,326,236,280,140,298,128,216,313
MLG64,218,256,312,145,383,148,326,236,280,140,298,128,216,318
MLG65,218,256,312,145,383,148,326,236,295,140,292,128,216,308
MLG66,218,256,312,145,383,148,326,236,295,144,298,128,216,318
MLG67,218,256,312,145,383,148,326,242,280,140,298,128,216,308
MLG68,218,256,312,145,383,148,326,242,280,140,298,128,216,313
MLG69,218,256,312,145,383,148,326,242,295,140,292,128,216,313
MLG70,218,256,312,145,383,148,326,254,280,140,298,128,216,313
MLG71,218,256,312,145,386,148,322,254,295,144,298,122,211,308
MLG72,218,256,312,145,389,148,322,254,295,160,298,122,211,308
MLG73,218,256,312,145,389,148,326,236,280,140,292,128,216,313
MLG74,218,256,312,145,389,148,326,236,280,140,298,122,216,313
MLG75,218,256,312,145,389,148,326,236,280,140,298,128,216,308
MLG76,218,256,312,145,389,148,326,236,280,140,298,128,216,313
MLG77,218,256,312,145,389,148,326,236,280,140,298,128,216,318
MLG78,218,256,312,145,389,148,326,236,295,140,298,128,216,313
MLG79,218,256,312,145,389,148,326,236,295,140,298,128,216,318
MLG80,218,256,312,145,389,148,326,242,280,140,298,122,216,313
MLG81,218,256,312,145,389,148,326,242,280,140,298,128,216,313
MLG82,218,256,312,145,389,148,326,242,280,140,298,128,216,318
MLG83,218,256,312,145,389,148,326,242,290,160,298,122,211,308
MLG84,218,256,312,145,389,148,326,254,290,160,298,122,211,308
MLG85,218,256,312,145,392,148,326,236,280,140,298,128,216,318
MLG86,218,256,312,145,392,148,326,242,280,140,298,128,216,313
MLG87,218,256,312,148,410,148,326,242,290,144,298,128,216,318
MLG88,218,256,312,157,335,152,326,242,290,160,298,128,211,308
MLG89,218,256,312,157,338,148,326,242,280,160,298,122,211,318
MLG90,218,256,312,157,338,148,326,242,280,160,298,128,211,308
MLG91,218,256,312,157,356,148,322,254,295,160,295,122,216,308
