Ind,Pop,aest01_1,aest06_1,aest07_1,aest10_1,aest15_1,aest18_1,aest24_1,aest25_1,aest26_1,aest28_1,aest29_1,aest31_1,aest35_1,aest36_1
ALD1,ALD_3_2011,242,234,261,295,312,140,298,128,145,356,211,308,148,326
ALD11,ALD_7_2011,242,236,261,295,312,140,298,128,145,356,211,308,148,326
ALD12,ALD_7_2011,242,234,261,295,312,140,0,128,145,356,211,308,148,326
ALD13,ALD_8_2011,242,234,261,295,312,140,298,128,142,356,211,308,148,326
ALD14,ALD_8_2011,242,218,261,290,312,164,298,128,142,353,211,308,148,326
ALD17,ALD_10_2011,236,224,256,280,312,164,298,128,142,392,216,308,148,326
ALD23,ALD_12_2011,248,236,256,280,312,164,298,128,142,353,211,318,148,322
ALD27,ALD_1_2012,242,218,261,290,312,164,298,128,142,353,211,308,140,326
ALD32,ALD_3_2012,0,234,261,295,312,140,298,128,145,356,211,308,148,326
ALD35,ALD_11_2012,242,234,261,295,312,140,298,128,145,356,211,308,144,326
ALD46,ALD_3_2013,0,234,261,295,312,140,298,128,142,356,211,308,148,326
ALD52,ALD_11_2013,242,234,261,295,312,164,298,128,142,356,216,318,144,326
ALD56,ALD_12_2013,0,234,261,295,312,140,298,128,145,353,211,0,148,326
ALD57,ALD_1_2014,236,234,261,280,312,144,0,128,145,356,216,308,148,326
ALD58,ALD_1_2014,0,218,261,295,312,140,0,128,157,356,211,0,148,326
ALD59,ALD_2_2014,236,234,261,295,312,140,292,128,145,356,211,308,148,326
ALD60,ALD_2_2014,236,234,261,295,312,140,298,128,145,356,211,308,148,326
ALD61,ALD_7_2014,242,234,261,295,312,140,298,128,145,356,211,0,148,326
ALD64,ALD_9_2014,236,230,261,295,312,140,298,128,145,356,211,308,148,326
ALD68,ALD_12_2015,0,234,261,295,312,140,298,128,142,356,211,0,148,326
ALD69,ALD_12_2015,236,234,261,295,312,140,298,128,145,356,211,0,148,326
BARB1,BAR_5_2014,0,218,261,290,312,160,298,131,157,347,204,318,152,322
