Row Labels,Sum of grp.21pca.grp,,,,Row Labels,Sum of grp.1pca.grp,
cluster1,957,2,,,cluster1,1981,5
2,702,,,,1,1,
4,120,,,,3,24,
5,135,,,,4,388,
cluster2,1109,5,,,5,1220,
1,39,,,,6,348,
5,1070,,,,cluster2,1113,6
cluster3,2346,6,,,3,339,
3,1062,,,,4,16,
6,1284,,,,5,290,
cluster4,721,5,,,6,468,
1,17,,,,cluster3,1136,2
2,54,,,,2,1136,
5,650,,,,cluster4,791,6
cluster5,335,1,,,3,225,
1,160,,,,4,8,
2,126,,,,5,120,
4,4,,,,6,438,
5,45,,,,cluster5,895,4
cluster6,2506,4,,,1,19,
1,318,,,,4,788,
2,26,,,,5,70,
4,1712,,,,6,18,
5,450,,,,cluster6,2741,4
mixed,453,,,,1,315,
1,5,,,,3,42,
2,198,,,,4,1312,
5,250,,,,5,400,
Grand Total,8427,,,,6,672,
,,,,,mixed,667,
,,,,,1,2,
,,,,,3,162,
,,,,,4,12,
,,,,,5,395,
,,,,,6,96,
,,,,,Grand Total,9324,
