"","grp.grp"
"FREI1","6"
"ALD1","1"
"ALD2","1"
"FREI2","6"
"FREI3","6"
"RIETH1","1"
"RIETH2","3"
"TROSS1","4"
"TROSS2","4"
"SCHLI1","4"
"SCHLI2","4"
"SCHLI3","5"
"ALD3","1"
"ALD4","1"
"RIETH3","5"
"RIETH4","3"
"TROSS3","5"
"TROSS4","5"
"ALD5","1"
"RIETH5","5"
"RIETH6","5"
"TROSS6","5"
"FREI6","6"
"ALD6","1"
"ALD7","1"
"ALD8","1"
"BOHHAS1","3"
"FREI7","6"
"FREI8","6"
"ALD10","1"
"ALD9","1"
"RIETH7","1"
"RIETH8","5"
"BOHHAS2","3"
"FREI10","4"
"SCHLI4","5"
"SCHLI5","5"
"SCHLI6","5"
"ALD11","1"
"FREI11","6"
"FREI12","6"
"SCHLI7","4"
"FREI13","6"
"FREI14","6"
"FREI15","6"
"FREI16","4"
"BOHBU1","3"
"BOHHAS3","3"
"ALD13","1"
"ALD14","1"
"FREI17","6"
"FREI18","4"
"RIETH10","5"
"ALD15","1"
"RIETH11","3"
"RIETH12","4"
"TROSS7","5"
"BOHBU2","3"
"BOHHAS5","3"
"BOHHAS6","5"
"ALD16","1"
"ALD17","1"
"BOHBU3","1"
"BOHHAS7","3"
"RIETH13","3"
"RIETH14","5"
"TROSS8","5"
"TROSS9","5"
"FREI19","6"
"FREI20","6"
"FREIBRUM1","4"
"BOHHAS10","3"
"BOHHAS11","1"
"BOHHAS8","3"
"BOHHAS9","3"
"UEBERL117","1"
"UEBERL118","1"
"UEBERL119","1"
"UEBERL120","1"
"UEBERL121","1"
"UEBERL122","1"
"UEBERL123","1"
"UEBERL124","1"
"UEBERL125","1"
"UEBERL126","1"
"UEBERL127","1"
"UEBERL128","1"
"UEBERL129","1"
"UEBERL130","1"
"FREI21","6"
"FREI22","6"
"FREIBRUM2","4"
"FREIBRUM3","4"
"UEBERL131","1"
"UEBERL132","1"
"UEBERL133","2"
"UEBERL134","1"
"UEBERL135","1"
"UEBERL136","1"
"UEBERL137","1"
"UEBERL138","1"
"UEBERL139","1"
"UEBERL140","1"
"UEBERL141","1"
"UEBERL142","1"
"UEBERL143","1"
"ALD18","1"
"ALD19","1"
"RIETH15","1"
"RIETH16","3"
"TROSS10","5"
"TROSS11","5"
"FREI23","6"
"FREI24","6"
"BOHBU4","3"
"ALD20","1"
"ALD21","1"
"RIETH17","5"
"RIETH18","5"
"SCHLI8","4"
"SCHLI9","4"
"TROSS12","5"
"TROSS13","5"
"ALD22","1"
"ALD23","5"
"RIETH19","5"
"RIETH20","5"
"TROSS14","5"
"TROSS15","5"
"BOHBU5","4"
"BOHHAS12","3"
"FREIBRUM4","4"
"ALD24","1"
"ALD25","1"
"TROSS16","5"
"TROSS17","5"
"BOHBU6","4"
"ALD26","1"
"ALD27","3"
"TROSS18","5"
"TROSS19","4"
"FREI28","4"
"ALD28","1"
"ALD29","1"
"RIETH21","5"
"SCHLI10","4"
"TROSS20","5"
"BOHBU10","3"
"BOHBU7","3"
"BOHBU8","1"
"BOHBU9","4"
"ALD30","1"
"RIETH22","4"
"BOHBU11","3"
"BOHBU12","3"
"BOHBU13","3"
"BOHBU14","3"
"BOHBU15","1"
"FREI29","6"
"FREI30","4"
"ALD31","1"
"RIETH23","5"
"RIETH24","4"
"TROSS21","5"
"TROSS22","5"
