"","Pop","SamplingYear","aest06_1","aest07_1","aest15_1","aest26_1","aest28_1","aest35_1","aest36_1","aest01_1","aest10_1","aest18_1","aest24_1","aest25_1","aest29_1","aest31_1","mean"
"1","FRE","2011",0.257142857142857,0.257142857142857,0.257142857142857,0,0.257142857142857,0,0.257142857142857,0,0.257142857142857,0.257142857142857,0.257142857142857,0.257142857142857,0.257142857142857,0.257142857142857,0.202040816326531
"2","ALD","2011",0.373188405797101,0.159420289855073,0,0.391304347826087,0.300724637681159,0,0.0833333333333331,0.16304347826087,0.304347826086956,0.289855072463768,0,0,0.0833333333333331,0.0833333333333331,0.159420289855072
"3","RIE","2011",0.608187134502924,0.105263157894737,0,0.660818713450292,0.649122807017544,0,0,0.485380116959064,0.701754385964912,0.719298245614035,0.608187134502924,0.491228070175439,0.280701754385965,0.502923976608187,0.415204678362573
"4","TRO","2011",0.458333333333333,0,0,0,0,0.233333333333333,0.458333333333333,0.233333333333333,0,0.458333333333333,0.458333333333333,0,0,0,0.164285714285714
"5","SCG","2011",0,0,0,0.805555555555556,0.555555555555556,0,0.222222222222222,0.5,0,0.722222222222222,0,0.5,0.388888888888889,0.5,0.299603174603175
"6","BOH","2011",0.181818181818182,0.545454545454546,0,0.6,0.490909090909091,0.181818181818182,0,0.436363636363636,0.509090909090909,0.472727272727273,0,0,0,0.618181818181818,0.288311688311688
"7","BOB","2011",0,0.333333333333333,0,0.533333333333333,0.8,0,0,0,0,0.6,0.333333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.3
"8","FRB","2011",0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0.178571428571429
"9","UEB","2011",0,0.461538461538462,0,0,0,0,0.433048433048433,0,0.270655270655271,0,0,0,0.501424501424502,0,0.119047619047619
"10","ALD","2012",0.303030303030303,0,0,0.303030303030303,0.303030303030303,0.318181818181818,0,0,0.303030303030303,0.303030303030303,0,0,0,0,0.130952380952381
"11","TRO","2012",0.533333333333333,0,0,0,0,0.2,0.533333333333333,0,0,0.533333333333333,0.533333333333333,0,0,0,0.166666666666667
"12","FRE","2012",0.189473684210526,0.189473684210526,0.189473684210526,0,0.194736842105263,0,0.189473684210526,0,0.189473684210526,0.189473684210526,0.189473684210526,0.189473684210526,0.189473684210526,0.189473684210526,0.149248120300752
"13","RIE","2012",0.181818181818182,0.181818181818182,0,0.745454545454545,0.745454545454545,0,0.181818181818182,0.618181818181818,0.472727272727273,0.8,0.345454545454545,0.509090909090909,0.181818181818182,0.327272727272727,0.377922077922078
"14","SCG","2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","BOB","2012",0.157142857142857,0.203174603174603,0,0.376190476190476,0.649206349206349,0,0,0.157142857142857,0.107936507936508,0.255555555555555,0.0555555555555557,0.285714285714286,0.322222222222222,0.541269841269841,0.222222222222222
