"","Pop","SamplingYear","Number","Count"
"1","FRE","2011","N",21
"2","FRE","2011","MLG",2
"3","ALD","2011","N",24
"4","ALD","2011","MLG",6
"5","RIE","2011","N",19
"6","RIE","2011","MLG",16
"7","TRO","2011","N",16
"8","TRO","2011","MLG",5
"9","SCG","2011","N",9
"10","SCG","2011","MLG",5
"11","BOH","2011","N",11
"12","BOH","2011","MLG",9
"13","BOB","2011","N",6
"14","BOB","2011","MLG",5
"15","FRB","2011","N",4
"16","FRB","2011","MLG",2
"17","UEB","2011","N",27
"18","UEB","2011","MLG",7
"19","ALD","2012","N",12
"20","ALD","2012","MLG",4
"21","TRO","2012","N",10
"22","TRO","2012","MLG",3
"23","FRE","2012","N",20
"24","FRE","2012","MLG",3
"25","RIE","2012","N",11
"26","RIE","2012","MLG",10
"27","SCG","2012","N",3
"28","SCG","2012","MLG",1
"29","BOB","2012","N",36
"30","BOB","2012","MLG",18
"31","SCL","2012","N",53
"32","SCL","2012","MLG",22
"33","SCD","2012","N",25
"34","SCD","2012","MLG",22
"35","UEB","2012","N",6
"36","UEB","2012","MLG",6
"37","BOH","2012","N",13
"38","BOH","2012","MLG",12
"39","WSL","2012","N",1
"40","WSL","2012","MLG",1
"41","FRB","2012","N",4
"42","FRB","2012","MLG",3
"43","ALD","2013","N",16
"44","ALD","2013","MLG",4
"45","RIE","2013","N",16
"46","RIE","2013","MLG",13
"47","TRO","2013","N",8
"48","TRO","2013","MLG",2
"49","BOB","2013","N",50
"50","BOB","2013","MLG",27
"51","SCG","2013","N",1
"52","SCG","2013","MLG",1
"53","SCL","2013","N",7
"54","SCL","2013","MLG",7
"55","FRE","2013","N",10
"56","FRE","2013","MLG",3
"57","UEB","2013","N",54
"58","UEB","2013","MLG",13
"59","FRB","2013","N",4
"60","FRB","2013","MLG",4
"61","BUR","2013","N",63
"62","BUR","2013","MLG",11
"63","SCS","2013","N",7
"64","SCS","2013","MLG",4
"65","SCD","2013","N",5
"66","SCD","2013","MLG",5
"67","BOH","2013","N",6
"68","BOH","2013","MLG",6
"69","NEU","2013","N",4
"70","NEU","2013","MLG",2
"71","UST","2013","N",25
"72","UST","2013","MLG",15
"73","KON","2013","N",3
"74","KON","2013","MLG",3
"75","FRI","2013","N",51
"76","FRI","2013","MLG",7
"77","BOB","2014","N",30
"78","BOB","2014","MLG",24
"79","RIE","2014","N",12
"80","RIE","2014","MLG",11
"81","UEB","2014","N",36
"82","UEB","2014","MLG",15
"83","UST","2014","N",10
"84","UST","2014","MLG",8
"85","SCD","2014","N",8
"86","SCD","2014","MLG",4
"87","FRE","2014","N",9
"88","FRE","2014","MLG",2
"89","FRB","2014","N",1
"90","FRB","2014","MLG",1
"91","ALD","2014","N",7
"92","ALD","2014","MLG",5
"93","FRI","2014","N",4
"94","FRI","2014","MLG",3
"95","SCL","2014","N",24
"96","SCL","2014","MLG",10
"97","SCS","2014","N",15
"98","SCS","2014","MLG",3
"99","SCG","2014","N",2
"100","SCG","2014","MLG",2
"101","BOH","2014","N",10
"102","BOH","2014","MLG",6
"103","BUR","2014","N",8
"104","BUR","2014","MLG",6
"105","KON","2014","N",12
"106","KON","2014","MLG",7
"107","NEU","2014","N",3
"108","NEU","2014","MLG",2
"109","ALD","2015","N",3
"110","ALD","2015","MLG",2
"111","BOB","2015","N",16
"112","BOB","2015","MLG",15
"113","KON","2015","N",2
"114","KON","2015","MLG",2
"115","RIE","2015","N",4
"116","RIE","2015","MLG",4
"117","UEB","2015","N",27
"118","UEB","2015","MLG",9
"119","FRI","2015","N",1
"120","FRI","2015","MLG",1
"121","FRE","2015","N",6
"122","FRE","2015","MLG",1
"123","SCD","2015","N",16
"124","SCD","2015","MLG",11
"125","SCL","2015","N",1
"126","SCL","2015","MLG",1
"127","BUR","2015","N",6
"128","BUR","2015","MLG",4
"129","NEU","2015","N",1
