"","Pop","TruffleYear","Number","Count"
"1","FRE","2010","N",4
"2","FRE","2010","MLG",1
"3","ALD","2010","N",5
"4","ALD","2010","MLG",1
"5","RIE","2010","N",6
"6","RIE","2010","MLG",6
"7","TRO","2010","N",5
"8","TRO","2010","MLG",4
"9","SCG","2010","N",3
"10","SCG","2010","MLG",2
"11","ALD","2011","N",25
"12","ALD","2011","MLG",7
"13","BOH","2011","N",11
"14","BOH","2011","MLG",9
"15","FRE","2011","N",20
"16","FRE","2011","MLG",3
"17","RIE","2011","N",17
"18","RIE","2011","MLG",12
"19","SCG","2011","N",7
"20","SCG","2011","MLG",3
"21","BOB","2011","N",15
"22","BOB","2011","MLG",9
"23","TRO","2011","N",16
"24","TRO","2011","MLG",4
"25","FRB","2011","N",4
"26","FRB","2011","MLG",2
"27","UEB","2011","N",27
"28","UEB","2011","MLG",7
"29","SCL","2011","N",3
"30","SCL","2011","MLG",3
"31","BOB","2012","N",28
"32","BOB","2012","MLG",13
"33","FRE","2012","N",18
"34","FRE","2012","MLG",1
"35","SCL","2012","N",51
"36","SCL","2012","MLG",20
"37","SCD","2012","N",25
"38","SCD","2012","MLG",22
"39","UEB","2012","N",11
"40","UEB","2012","MLG",10
"41","BOH","2012","N",13
"42","BOH","2012","MLG",12
"43","WSL","2012","N",1
"44","WSL","2012","MLG",1
"45","ALD","2012","N",13
"46","ALD","2012","MLG",3
"47","RIE","2012","N",14
"48","RIE","2012","MLG",12
"49","FRB","2012","N",5
"50","FRB","2012","MLG",4
"51","SCG","2012","N",3
"52","SCG","2012","MLG",2
"53","TRO","2012","N",13
"54","TRO","2012","MLG",3
"55","BOB","2013","N",54
"56","BOB","2013","MLG",31
"57","UEB","2013","N",57
"58","UEB","2013","MLG",13
"59","BUR","2013","N",63
"60","BUR","2013","MLG",11
"61","FRE","2013","N",11
"62","FRE","2013","MLG",3
"63","SCL","2013","N",8
"64","SCL","2013","MLG",8
"65","SCS","2013","N",7
"66","SCS","2013","MLG",4
"67","SCD","2013","N",7
"68","SCD","2013","MLG",7
"69","BOH","2013","N",6
"70","BOH","2013","MLG",6
"71","NEU","2013","N",4
