,FRE,ALD,RIE,TRO,SCG,BOH,BOB,FRB,UEB,SCL,SCD,WSL,BUR,SCS,NEU,UST,KON,FRI,BAR,BRU,LIM,HAN,GEN
FRE,NA,0.887,0.7142,0.8828,0.7902,0.7996,0.7663,0.4653,0.8895,0.8583,0.8013,0.9582,0.8292,0.9405,0.9069,0.76,0.8374,0.794,0.9131,0.6753,0.7358,0.8126,0.9226
ALD,0.887,NA,0.414,0.7632,0.6823,0.611,0.4943,0.6023,0.6903,0.7655,0.63,0.8261,0.8064,0.8305,0.7563,0.4454,0.6588,0.5812,0.7626,0.6776,0.494,0.6217,0.7287
RIE,0.7142,0.414,NA,0.4864,0.445,0.3547,0.2696,0.4077,0.5187,0.4947,0.3703,0.6069,0.6469,0.6162,0.4354,0.2694,0.386,0.3791,0.2801,0.5095,0.2643,0.3626,0.5099
TRO,0.8828,0.7632,0.4864,NA,0.6283,0.5875,0.5387,0.5985,0.7299,0.7337,0.6629,0.8626,0.77,0.8208,0.5963,0.5014,0.6269,0.639,0.784,0.6678,0.4752,0.6418,0.7992
SCG,0.7902,0.6823,0.445,0.6283,NA,0.5426,0.4822,0.432,0.6387,0.3131,0.3823,0.7654,0.6673,0.6405,0.673,0.437,0.5686,0.5342,0.4048,0.5799,0.3992,0.572,0.5957
BOH,0.7996,0.611,0.3547,0.5875,0.5426,NA,0.2607,0.4797,0.6013,0.6257,0.4667,0.7389,0.7055,0.6639,0.5204,0.2866,0.4042,0.355,0.493,0.5857,0.1845,0.3806,0.6677
BOB,0.7663,0.4943,0.2696,0.5387,0.4822,0.2607,NA,0.4408,0.5534,0.6255,0.466,0.7215,0.6809,0.6047,0.5371,0.2777,0.4586,0.3767,0.4614,0.5513,0.2667,0.4492,0.6143
FRB,0.4653,0.6023,0.4077,0.5985,0.432,0.4797,0.4408,NA,0.6204,0.5536,0.4827,0.6865,0.5562,0.6578,0.637,0.4407,0.5304,0.4651,0.2964,0.378,0.4136,0.5291,0.6561
UEB,0.8895,0.6903,0.5187,0.7299,0.6387,0.6013,0.5534,0.6204,NA,0.7214,0.6041,0.8039,0.7942,0.818,0.755,0.4286,0.6855,0.5554,0.6949,0.651,0.5186,0.5666,0.6607
SCL,0.8583,0.7655,0.4947,0.7337,0.3131,0.6257,0.6255,0.5536,0.7214,NA,0.4328,0.82,0.7574,0.8043,0.6797,0.5382,0.6572,0.6523,0.5976,0.6499,0.4739,0.5731,0.7066
SCD,0.8013,0.63,0.3703,0.6629,0.3823,0.4667,0.466,0.4827,0.6041,0.4328,NA,0.697,0.6963,0.7157,0.635,0.3939,0.5734,0.449,0.3886,0.596,0.3687,0.4254,0.62
WSL,0.9582,0.8261,0.6069,0.8626,0.7654,0.7389,0.7215,0.6865,0.8039,0.82,0.697,NA,0.8466,0.9375,0.8687,0.6701,0.7772,0.594,0.9747,0.743,0.5732,0.6339,0.895
BUR,0.8292,0.8064,0.6469,0.77,0.6673,0.7055,0.6809,0.5562,0.7942,0.7574,0.6963,0.8466,NA,0.8344,0.8062,0.6702,0.7407,0.6796,0.7269,0.5879,0.6159,0.7215,0.8194
SCS,0.9405,0.8305,0.6162,0.8208,0.6405,0.6639,0.6047,0.6578,0.818,0.8043,0.7157,0.9375,0.8344,NA,0.878,0.5865,0.6608,0.609,0.9302,0.7147,0.4736,0.6939,0.8414
NEU,0.9069,0.7563,0.4354,0.5963,0.673,0.5204,0.5371,0.637,0.755,0.6797,0.635,0.8687,0.8062,0.878,NA,0.5186,0.6156,0.6561,0.8263,0.6925,0.435,0.5621,0.8239
UST,0.76,0.4454,0.2694,0.5014,0.437,0.2866,0.2777,0.4407,0.4286,0.5382,0.3939,0.6701,0.6702,0.5865,0.5186,NA,0.3906,0.3698,0.3466,0.5184,0.2188,0.3695,0.4884
KON,0.8374,0.6588,0.386,0.6269,0.5686,0.4042,0.4586,0.5304,0.6855,0.6572,0.5734,0.7772,0.7407,0.6608,0.6156,0.3906,NA,0.5196,0.6749,0.6201,0.2994,0.501,0.659
FRI,0.794,0.5812,0.3791,0.639,0.5342,0.355,0.3767,0.4651,0.5554,0.6523,0.449,0.594,0.6796,0.609,0.6561,0.3698,0.5196,NA,0.5142,0.5588,0.2807,0.455,0.6222
BAR,0.9131,0.7626,0.2801,0.784,0.4048,0.493,0.4614,0.2964,0.6949,0.5976,0.3886,0.9747,0.7269,0.9302,0.8263,0.3466,0.6749,0.5142,NA,0.5113,0.2941,0.5288,0.831
BRU,0.6753,0.6776,0.5095,0.6678,0.5799,0.5857,0.5513,0.378,0.651,0.6499,0.596,0.743,0.5879,0.7147,0.6925,0.5184,0.6201,0.5588,0.5113,NA,0.5113,0.5909,0.675
LIM,0.7358,0.494,0.2643,0.4752,0.3992,0.1845,0.2667,0.4136,0.5186,0.4739,0.3687,0.5732,0.6159,0.4736,0.435,0.2188,0.2994,0.2807,0.2941,0.5113,NA,0.2978,0.4879
HAN,0.8126,0.6217,0.3626,0.6418,0.572,0.3806,0.4492,0.5291,0.5666,0.5731,0.4254,0.6339,0.7215,0.6939,0.5621,0.3695,0.501,0.455,0.5288,0.5909,0.2978,NA,0.6258
GEN,0.9226,0.7287,0.5099,0.7992,0.5957,0.6677,0.6143,0.6561,0.6607,0.7066,0.62,0.895,0.8194,0.8414,0.8239,0.4884,0.659,0.6222,0.831,0.675,0.4879,0.6258,NA
