Column1,MLG,total_samples,,,0.267904509
275,MLG346,275,,,
284,MLG354,202,,,
389,MLG449,129,,,
64,MLG156,101,,,
417,MLG7,90,,,
430,MLG81,79,,,
59,MLG151,73,,,
122,MLG208,57,,,
1,MLG1,56,,,
253,MLG326,54,,,
317,MLG384,54,,,
425,MLG77,51,,,
172,MLG253,49,,,
403,MLG57,47,,,
294,MLG363,40,,,
353,MLG416,40,,,
329,MLG395,39,,,
124,MLG21,38,,,
143,MLG227,38,,,
331,MLG397,38,,,
220,MLG297,34,,,
281,MLG351,29,,,
42,MLG136,27,,,
414,MLG67,27,,,
195,MLG274,23,,,
415,MLG68,23,,,
35,MLG13,21,,,
88,MLG178,20,,,
86,MLG176,19,,,
203,MLG281,19,,,
431,MLG82,19,,,
152,MLG235,17,,,
336,MLG400,16,,,
424,MLG76,15,,,
385,MLG445,14,,,
91,MLG180,13,,,
369,MLG430,13,,,
276,MLG347,12,,,
73,MLG164,11,,,
140,MLG224,11,,,
206,MLG284,10,,,
176,MLG257,9,,,
352,MLG415,9,,,
82,MLG172,8,,,
297,MLG366,8,,,
309,MLG377,8,,,
65,MLG157,7,,,
151,MLG234,7,,,
314,MLG381,7,,,
398,MLG52,7,,,
84,MLG174,6,,,
210,MLG288,6,,,
274,MLG345,6,,,
335,MLG40,6,,,
378,MLG439,6,,,
386,MLG446,6,,,
108,MLG196,5,,,
109,MLG197,5,,,
110,MLG198,5,,,
191,MLG270,5,,,
205,MLG283,5,,,
291,MLG360,5,,,
310,MLG378,5,,,
322,MLG389,5,,,
361,MLG423,5,,,
406,MLG6,5,,,
439,MLG9,5,,,
449,MLG99,5,,,
5,MLG102,4,,,
9,MLG106,4,,,
31,MLG126,4,,,
85,MLG175,4,,,
116,MLG202,4,,,
127,MLG212,4,,,
137,MLG221,4,,,
209,MLG287,4,,,
248,MLG321,4,,,
260,MLG332,4,,,
280,MLG350,4,,,
289,MLG359,4,,,
298,MLG367,4,,,
342,MLG406,4,,,
371,MLG432,4,,,
427,MLG79,4,,,
8,MLG105,3,,,
20,MLG116,3,,,
27,MLG122,3,,,
53,MLG146,3,,,
60,MLG152,3,,,
136,MLG220,3,,,
155,MLG238,3,,,
177,MLG258,3,,,
