"","FRE","ALD","RIE","TRO","SCG","BOH","BOB","FRB","UEB","SCL","SCD","WSL","BUR","SCS","NEU","UST","KON","FRI","BAR","BRU","LIM","HAN","GEN"
"FRE",0,0.451150306345684,0.345091449877472,0.458277137632282,0.378684830578379,0.387106519903052,0.349363273512906,0.167000329435068,0.468807071295592,0.409385869044155,0.377718399027737,0.524580725879774,0.365344776089981,0.507004703871845,0.461082474675551,0.385315171034161,0.387286809452629,0.382829535904035,0.401077084259795,0.289775540171174,0.356283365736942,0.42335264569007,0.499305474021126
"ALD",0.451150306345684,0,0.0875861793062983,0.220065445129479,0.211511290320041,0.149506472025915,0.100734803390021,0.221269041272801,0.148376679565249,0.238486047225002,0.156796148701246,0.179498026695227,0.380650343962923,0.220654357810868,0.177449218439616,0.0927388891246283,0.169113330816671,0.134581151236362,0.210202100432442,0.255196802500298,0.115034979685322,0.15888753153711,0.143141911928173
"RIE",0.345091449877472,0.0875861793062983,0,0.117608078404711,0.119243320320257,0.0816110145367311,0.0599562572703482,0.131991797501045,0.138323995454615,0.129609874730859,0.0877403274430543,0.162632912997917,0.293486074310231,0.167945762991532,0.0879261635944389,0.0611037549077997,0.0984158651488658,0.0940417705134517,0.0678202037483475,0.183203226698221,0.0624475526738499,0.0862535812533426,0.112053226443225
"TRO",0.458277137632282,0.220065445129479,0.117608078404711,0,0.169871970579045,0.138171861467846,0.123040179956672,0.217491129899834,0.187772077772901,0.208716584105486,0.185341937070898,0.256707478467223,0.320548505861408,0.220511928873656,0.0888304958364154,0.116687889997747,0.152288783028741,0.175219368835522,0.257821278609025,0.246694902556304,0.107906879563874,0.176537174912439,0.223836069236785
"SCG",0.378684830578379,0.211511290320041,0.119243320320257,0.169871970579045,0,0.14746787138707,0.124540145768937,0.126360873916846,0.177159422144925,0.0486692236231269,0.0760325971996987,0.239182781617992,0.263257913891002,0.141436024488047,0.185910178327314,0.109111557893807,0.159626049029901,0.145777303395297,0.0858841010401189,0.205685869122206,0.0967840555890232,0.168653340514361,0.125431034482759
"BOH",0.387106519903052,0.149506472025915,0.0816110145367311,0.138171861467846,0.14746787138707,0,0.0463531015914338,0.15537291433967,0.146786022462516,0.171759632480191,0.1052768611427,0.20084890595321,0.302628261791429,0.14940304237762,0.0939550486900069,0.0563156766283597,0.0853310182946032,0.0687529770410593,0.118653266331658,0.208640573106779,0.0324925412142708,0.0761530531111389,0.164847250340181
"BOB",0.349363273512906,0.100734803390021,0.0599562572703482,0.123040179956672,0.124540145768937,0.0463531015914338,0,0.142277911979453,0.130703335209163,0.185676085150045,0.11360548162674,0.20630548356372,0.290147150089651,0.128118242390739,0.110038614133322,0.0582415275960668,0.111364516588247,0.0819588160452622,0.12178885599009,0.199602923552706,0.0578573919734541,0.109277368925165,0.146024076369363
"FRB",0.167000329435068,0.221269041272801,0.131991797501045,0.217491129899834,0.126360873916846,0.15537291433967,0.142277911979453,0,0.243801984712762,0.190429747837245,0.158194618054025,0.275334152800758,0.231006870529722,0.244535701540337,0.239338234075671,0.143641222369034,0.188999321251478,0.150863838050397,0.0783110790328401,0.117689094574681,0.134921828513306,0.192328907457985,0.242361960240153
"UEB",0.468807071295592,0.148376679565249,0.138323995454615,0.187772077772901,0.177159422144925,0.146786022462516,0.130703335209163,0.243801984712762,0,0.192902026217351,0.143952339388096,0.158987492660865,0.362109648750804,0.206579785914949,0.179365962837528,0.0891127886659141,0.194130850660982,0.124381515574768,0.154396774858557,0.234232257154169,0.13104163971225,0.129570001758975,0.10575759030313
"SCL",0.409385869044155,0.238486047225002,0.129609874730859,0.208716584105486,0.0486692236231269,0.171759632480191,0.185676085150045,0.190429747837245,0.192902026217351,0,0.0763096276700717,0.210701875903215,0.317850513036799,0.216868888826564,0.13728642094534,0.143487343237131,0.183388590770887,0.196982172383567,0.119073505081541,0.241071808677331,0.113708041106174,0.140277715624798,0.146614289061537
"SCD",0.377718399027737,0.156796148701246,0.0877403274430543,0.185341937070898,0.0760325971996987,0.1052768611427,0.11360548162674,0.158194618054025,0.143952339388096,0.0763096276700717,0,0.156253346955343,0.285794435122942,0.181985906195567,0.145368704138249,0.0909613105296433,0.157165693211045,0.100548946957878,0.0752382103375019,0.217668613465731,0.0841925097738625,0.090601217815864,0.129663935099851
"WSL",0.524580725879774,0.179498026695227,0.162632912997917,0.256707478467223,0.239182781617992,0.20084890595321,0.20630548356372,0.275334152800758,0.158987492660865,0.210701875903215,0.156253346955343,0,0.354028168190544,0.235826293740588,0.190561539046713,0.190725087680335,0.210500536609682,0.107906911932421,0.276961463820352,0.296633246243557,0.131880249177913,0.126681940410412,0.205030914617825
"BUR",0.365344776089981,0.380650343962923,0.293486074310231,0.320548505861408,0.263257913891002,0.302628261791429,0.290147150089651,0.231006870529722,0.362109648750804,0.317850513036799,0.285794435122942,0.354028168190544,0,0.353263870343141,0.345720272131521,0.2990307156638,0.2983210219661,0.277351656318105,0.304989649234819,0.232659824763316,0.251680644833806,0.330001316827408,0.359407872361278
